,year,arena,location,team,opponent,team_points,opponent_points
0,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,Sonoma State,95,69
1,2013,Dee Glen Smith Spectrum,Away,SAINT-MARYS-CA,utah-state,67,58
2,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,eastern-washington,85,66
3,2013,,Neutral,SAINT-MARYS-CA,drexel,76,64
4,2013,,Neutral,SAINT-MARYS-CA,pacific,66,76
5,2013,,Neutral,SAINT-MARYS-CA,georgia-tech,56,65
6,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,cal-poly,86,68
7,2013,Knapp Center,Away,SAINT-MARYS-CA,drake,88,73
8,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,jackson-state,120,67
9,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,pacific,74,46
10,2013,McLeod Center,Away,SAINT-MARYS-CA,northern-iowa,75,82
11,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,rhode-island,82,59
12,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,yale,78,62
13,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,harvard,70,69
14,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,loyola-marymount,74,61
15,2013,McCarthey Athletic Center,Away,SAINT-MARYS-CA,gonzaga,78,83
16,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,san-francisco,78,72
17,2013,Marriott Center,Away,SAINT-MARYS-CA,brigham-young,70,69
18,2013,Chiles Center,Away,SAINT-MARYS-CA,portland,60,38
19,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,san-diego,81,48
20,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,pepperdine,84,72
21,2013,War Memorial Gymnasium,Away,SAINT-MARYS-CA,san-francisco,67,63
22,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,portland,77,42
23,2013,Leavey Center,Away,SAINT-MARYS-CA,santa-clara,84,63
24,2013,Jenny Craig Pavillion,Away,SAINT-MARYS-CA,san-diego,74,64
25,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,gonzaga,60,77
26,2013,Albert Gersten Pavilion,Away,SAINT-MARYS-CA,loyola-marymount,61,50
27,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,brigham-young,64,57
28,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,creighton,74,66
29,2013,Firestone Fieldhouse,Away,SAINT-MARYS-CA,pepperdine,87,48
30,2013,McKeon Pavilion,Home,SAINT-MARYS-CA,santa-clara,80,67
31,2013,,Neutral,SAINT-MARYS-CA,san-diego,69,66
32,2013,,Neutral,SAINT-MARYS-CA,gonzaga,51,65
33,2013,University of Dayton Arena,Neutral,SAINT-MARYS-CA,middle-tennessee,67,54
34,2013,,Neutral,SAINT-MARYS-CA,memphis,52,54
