,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Cassell Coliseum,Home,VIRGINIA-TECH,east-tennessee-state,80,62
1,2013,Cassell Coliseum,Home,VIRGINIA-TECH,rhode-island,69,50
2,2013,Cassell Coliseum,Home,VIRGINIA-TECH,virginia-military-institute,95,80
3,2013,Fleming Gymnasium,Away,VIRGINIA-TECH,north-carolina-greensboro,96,87
4,2013,Cassell Coliseum,Home,VIRGINIA-TECH,appalachian-state,87,76
5,2013,Cassell Coliseum,Home,VIRGINIA-TECH,iowa,95,79
6,2013,Cassell Coliseum,Home,VIRGINIA-TECH,oklahoma-state,81,71
7,2013,WVU Coliseum,Away,VIRGINIA-TECH,west-virginia,67,68
8,2013,Cassell Coliseum,Home,VIRGINIA-TECH,mississippi-valley-state,70,49
9,2013,Cassell Coliseum,Home,VIRGINIA-TECH,georgia-southern,73,78
10,2013,,Neutral,VIRGINIA-TECH,bradley,66,65
11,2013,,Neutral,VIRGINIA-TECH,colorado-state,52,88
12,2013,Marriott Center,Neutral,VIRGINIA-TECH,brigham-young,71,97
13,2013,Comcast Center,Away,VIRGINIA-TECH,maryland,71,94
14,2013,Cassell Coliseum,Home,VIRGINIA-TECH,boston-college,75,86
15,2013,McCamish Pavilion,Away,VIRGINIA-TECH,georgia-tech,70,65
16,2013,Cassell Coliseum,Home,VIRGINIA-TECH,wake-forest,66,65
17,2013,Cassell Coliseum,Home,VIRGINIA-TECH,virginia,58,74
18,2013,Littlejohn Coliseum,Away,VIRGINIA-TECH,clemson,70,77
19,2013,Cassell Coliseum,Home,VIRGINIA-TECH,miami-fl,64,73
20,2013,Dean Smith Center,Away,VIRGINIA-TECH,north-carolina,60,72
21,2013,Cassell Coliseum,Home,VIRGINIA-TECH,maryland,55,60
22,2013,Cassell Coliseum,Home,VIRGINIA-TECH,georgia-tech,54,64
23,2013,John Paul Jones Arena,Away,VIRGINIA-TECH,virginia,55,73
24,2013,RBC Center,Away,VIRGINIA-TECH,north-carolina-state,86,90
25,2013,Cassell Coliseum,Home,VIRGINIA-TECH,duke,56,88
26,2013,Cassell Coliseum,Home,VIRGINIA-TECH,florida-state,80,70
27,2013,BankUnited Center,Away,VIRGINIA-TECH,miami-fl,58,76
28,2013,Cassell Coliseum,Home,VIRGINIA-TECH,clemson,69,61
29,2013,Cameron Indoor Stadium,Away,VIRGINIA-TECH,duke,57,85
30,2013,Lawrence Joel Coliseum,Away,VIRGINIA-TECH,wake-forest,79,90
31,2013,,Neutral,VIRGINIA-TECH,north-carolina-state,63,80
