,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Friel Court,Home,WASHINGTON-STATE,eastern-washington,88,69
1,2013,Friel Court,Home,WASHINGTON-STATE,utah-valley,72,49
2,2013,Firestone Fieldhouse,Away,WASHINGTON-STATE,pepperdine,56,58
3,2013,Sprint Center,Neutral,WASHINGTON-STATE,kansas,41,78
4,2013,,Neutral,WASHINGTON-STATE,texas-am,54,55
5,2013,Friel Court,Home,WASHINGTON-STATE,arkansas-pine-bluff,66,38
6,2013,Friel Court,Home,WASHINGTON-STATE,idaho,64,55
7,2013,Friel Court,Home,WASHINGTON-STATE,portland,72,60
8,2013,Friel Court,Home,WASHINGTON-STATE,gonzaga,69,71
9,2013,Friel Court,Home,WASHINGTON-STATE,fresno-state,59,50
10,2013,Friel Court,Home,WASHINGTON-STATE,jackson-state,52,41
11,2013,KeyArena,Neutral,WASHINGTON-STATE,buffalo,65,54
12,2013,,Neutral,WASHINGTON-STATE,idaho-state,74,39
13,2013,Friel Court,Home,WASHINGTON-STATE,washington,63,68
14,2013,Maples Pavilion,Away,WASHINGTON-STATE,stanford,67,78
15,2013,Haas Pavilion,Away,WASHINGTON-STATE,california,54,67
16,2013,Friel Court,Home,WASHINGTON-STATE,utah,75,65
17,2013,Friel Court,Home,WASHINGTON-STATE,colorado,49,58
18,2013,Matthew Knight Arena,Away,WASHINGTON-STATE,oregon,61,68
19,2013,Gill Coliseum,Away,WASHINGTON-STATE,oregon-state,71,68
20,2013,Friel Court,Home,WASHINGTON-STATE,arizona-state,59,63
21,2013,Friel Court,Home,WASHINGTON-STATE,arizona,65,79
22,2013,Galen Center,Away,WASHINGTON-STATE,southern-california,68,72
23,2013,Pauley Pavilion,Away,WASHINGTON-STATE,ucla,62,76
24,2013,Friel Court,Home,WASHINGTON-STATE,oregon-state,66,67
25,2013,Friel Court,Home,WASHINGTON-STATE,oregon,77,79
26,2013,Wells Fargo Arena,Away,WASHINGTON-STATE,arizona-state,57,69
27,2013,McKale Center,Away,WASHINGTON-STATE,arizona,56,73
28,2013,Bank of America Arena,Away,WASHINGTON-STATE,washington,68,72
29,2013,Friel Court,Home,WASHINGTON-STATE,ucla,73,61
30,2013,Friel Court,Home,WASHINGTON-STATE,southern-california,76,51
31,2013,,Neutral,WASHINGTON-STATE,washington,62,64
