,year,arena,location,team,opponent,team_points,opponent_points
0,2014,,Neutral,AIR-FORCE,army,79,68
1,2014,Cameron Hall,Away,AIR-FORCE,virginia-military-institute,63,71
2,2014,Clune Arena,Home,AIR-FORCE,jackson-state,82,84
3,2014,Clune Arena,Home,AIR-FORCE,arkansas-pine-bluff,67,64
4,2014,Clune Arena,Home,AIR-FORCE,Colorado Christian,78,51
5,2014,Clune Arena,Home,AIR-FORCE,richmond,60,83
6,2014,Clune Arena,Home,AIR-FORCE,colorado,57,81
7,2014,Clune Arena,Home,AIR-FORCE,south-dakota,94,86
8,2014,Clune Arena,Home,AIR-FORCE,Western State,94,53
9,2014,Clune Arena,Home,AIR-FORCE,california-riverside,62,52
10,2014,The Pavilion,Away,AIR-FORCE,california-davis,74,80
11,2014,Clune Arena,Home,AIR-FORCE,utah-state,73,72
12,2014,Thomas & Mack Center,Away,AIR-FORCE,nevada-las-vegas,75,68
13,2014,Save Mart Center,Away,AIR-FORCE,fresno-state,65,71
14,2014,Clune Arena,Home,AIR-FORCE,san-diego-state,72,79
15,2014,Clune Arena,Home,AIR-FORCE,san-jose-state,77,62
16,2014,Moby Arena,Away,AIR-FORCE,colorado-state,68,74
17,2014,Clune Arena,Home,AIR-FORCE,wyoming,59,66
18,2014,Taco Bell Arena,Away,AIR-FORCE,boise-state,58,69
19,2014,Lawlor Events Center,Away,AIR-FORCE,nevada,56,69
20,2014,Clune Arena,Home,AIR-FORCE,fresno-state,51,68
21,2014,Clune Arena,Home,AIR-FORCE,colorado-state,56,68
22,2014,The Event Center,Away,AIR-FORCE,san-jose-state,51,48
23,2014,Viejas Arena,Away,AIR-FORCE,san-diego-state,56,64
24,2014,Clune Arena,Home,AIR-FORCE,nevada,56,75
25,2014,Arena-Auditorium,Away,AIR-FORCE,wyoming,55,53
26,2014,Clune Arena,Home,AIR-FORCE,nevada-las-vegas,67,93
27,2014,The Pit/Bob King Court,Away,AIR-FORCE,new-mexico,52,80
28,2014,Clune Arena,Home,AIR-FORCE,boise-state,64,61
29,2014,Thomas & Mack Center,Neutral,AIR-FORCE,fresno-state,59,61
