,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Qwest Center OMAHA,Away,ALCORN-STATE,creighton,61,107
1,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,Tougaloo,73,68
2,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,Mississippi College,87,61
3,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,Dillard,91,51
4,2014,McKeon Pavilion,Away,ALCORN-STATE,saint-marys-ca,55,72
5,2014,Ervin J. Nutter Center,Away,ALCORN-STATE,wright-state,55,73
6,2014,Trojan Arena,Away,ALCORN-STATE,troy,70,73
7,2014,Hofheinz Pavilion,Away,ALCORN-STATE,houston,58,89
8,2014,Pete Mathews Coliseum,Away,ALCORN-STATE,jacksonville-state,52,63
9,2014,University Center,Away,ALCORN-STATE,mercer,44,70
10,2014,Don Haskins Center,Neutral,ALCORN-STATE,denver,49,67
11,2014,Don Haskins Center,Neutral,ALCORN-STATE,western-illinois,62,64
12,2014,Health & Physical Education Arena,Away,ALCORN-STATE,texas-southern,66,83
13,2014,William J. Nicks Building,Away,ALCORN-STATE,prairie-view,67,70
14,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,jackson-state,64,51
15,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,grambling,64,56
16,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,mississippi-valley-state,65,53
17,2014,K.L. Johnson HPER Complex,Away,ALCORN-STATE,arkansas-pine-bluff,71,45
18,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,alabama-state,54,58
19,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,alabama-am,70,64
20,2014,F. G. Clark Activity Center,Away,ALCORN-STATE,southern,54,62
21,2014,Lee E. Williams Athletics and Assembly Center,Away,ALCORN-STATE,jackson-state,61,71
22,2014,HPER Complex,Away,ALCORN-STATE,grambling,80,95
23,2014,Davey L. Whitney Complex,Neutral,ALCORN-STATE,mississippi-valley-state,67,63
24,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,arkansas-pine-bluff,57,54
25,2014,ASU Acadome,Away,ALCORN-STATE,alabama-state,86,92
26,2014,Elmore Health Science Building,Away,ALCORN-STATE,alabama-am,64,56
27,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,southern,54,67
28,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,texas-southern,69,77
29,2014,Davey L. Whitney Complex,Home,ALCORN-STATE,prairie-view,64,62
30,2014,,Neutral,ALCORN-STATE,alabama-state,51,64
