,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Auburn Arena,Home,AUBURN,nicholls-state,76,54
1,2014,Auburn Arena,Home,AUBURN,northwestern-state,92,111
2,2014,Auburn Arena,Home,AUBURN,jacksonville-state,78,54
3,2014,Auburn Arena,Home,AUBURN,murray-state,75,67
4,2014,Auburn Arena,Home,AUBURN,tennessee-state,78,73
5,2014,James H. Hilton Coliseum,Away,AUBURN,iowa-state,70,99
6,2014,Philips Arena,Neutral,AUBURN,illinois,62,81
7,2014,Auburn Arena,Home,AUBURN,clemson,66,64
8,2014,Auburn Arena,Home,AUBURN,boston-college,77,67
9,2014,Auburn Arena,Home,AUBURN,arkansas-pine-bluff,91,59
10,2014,Auburn Arena,Home,AUBURN,florida-am,81,50
11,2014,C.M. Tad Smith Coliseum,Away,AUBURN,mississippi,62,65
12,2014,Auburn Arena,Home,AUBURN,missouri,68,70
13,2014,Thompson-Boling Arena,Away,AUBURN,tennessee,67,78
14,2014,Auburn Arena,Home,AUBURN,florida,61,68
15,2014,Humphrey Coliseum,Away,AUBURN,mississippi-state,74,82
16,2014,Bud Walton Arena,Away,AUBURN,arkansas,67,86
17,2014,Auburn Arena,Home,AUBURN,alabama,74,55
18,2014,Auburn Arena,Home,AUBURN,georgia,74,67
19,2014,The Colonial Life Arena,Away,AUBURN,south-carolina,79,74
20,2014,Maravich Assembly Center,Away,AUBURN,louisiana-state,80,87
21,2014,Auburn Arena,Home,AUBURN,kentucky,56,64
22,2014,Auburn Arena,Home,AUBURN,mississippi-state,92,82
23,2014,Stephen C. O'Connell Center,Away,AUBURN,florida,66,71
24,2014,Auburn Arena,Home,AUBURN,vanderbilt,59,67
25,2014,Auburn Arena,Home,AUBURN,south-carolina,83,67
26,2014,Coleman Coliseum,Away,AUBURN,alabama,57,73
27,2014,Auburn Arena,Home,AUBURN,tennessee,54,82
28,2014,Reed Arena,Away,AUBURN,texas-am,69,64
29,2014,Georgia Dome,Neutral,AUBURN,south-carolina,56,74
