,year,arena,location,team,opponent,team_points,opponent_points
0,2014,New UCF Arena,Home,CENTRAL-FLORIDA,Tampa,97,72
1,2014,New UCF Arena,Home,CENTRAL-FLORIDA,florida-state,68,80
2,2014,New UCF Arena,Home,CENTRAL-FLORIDA,bethune-cookman,83,63
3,2014,BankUnited Center,Away,CENTRAL-FLORIDA,miami-fl,63,58
4,2014,Athletics-Recreation Center,Away,CENTRAL-FLORIDA,valparaiso,70,85
5,2014,FAU Arena,Away,CENTRAL-FLORIDA,florida-atlantic,64,75
6,2014,New UCF Arena,Home,CENTRAL-FLORIDA,stetson,77,58
7,2014,New UCF Arena,Home,CENTRAL-FLORIDA,howard,79,64
8,2014,New UCF Arena,Home,CENTRAL-FLORIDA,jacksonville,104,64
9,2014,New UCF Arena,Home,CENTRAL-FLORIDA,Rio Grande,86,58
10,2014,New UCF Arena,Home,CENTRAL-FLORIDA,valparaiso,90,62
11,2014,New UCF Arena,Home,CENTRAL-FLORIDA,louisville,65,90
12,2014,New UCF Arena,Home,CENTRAL-FLORIDA,temple,78,76
13,2014,Harry A. Gampel Pavilion,Away,CENTRAL-FLORIDA,connecticut,61,84
14,2014,Louis Brown Athletic Center,Away,CENTRAL-FLORIDA,rutgers,75,85
15,2014,New UCF Arena,Home,CENTRAL-FLORIDA,southern-methodist,46,58
16,2014,Fifth Third Arena,Away,CENTRAL-FLORIDA,cincinnati,51,69
17,2014,New UCF Arena,Home,CENTRAL-FLORIDA,memphis,59,69
18,2014,KFC Yum! Center,Away,CENTRAL-FLORIDA,louisville,70,87
19,2014,New UCF Arena,Home,CENTRAL-FLORIDA,south-florida,78,79
20,2014,New UCF Arena,Home,CENTRAL-FLORIDA,connecticut,55,75
21,2014,FedExForum,Away,CENTRAL-FLORIDA,memphis,70,76
22,2014,Sun Dome,Away,CENTRAL-FLORIDA,south-florida,75,74
23,2014,New UCF Arena,Home,CENTRAL-FLORIDA,cincinnati,49,77
24,2014,Hofheinz Pavilion,Away,CENTRAL-FLORIDA,houston,84,88
25,2014,New UCF Arena,Home,CENTRAL-FLORIDA,rutgers,67,65
26,2014,Moody Coliseum,Away,CENTRAL-FLORIDA,southern-methodist,55,70
27,2014,Liacouras Center,Away,CENTRAL-FLORIDA,temple,78,86
28,2014,New UCF Arena,Home,CENTRAL-FLORIDA,houston,104,83
29,2014,,Neutral,CENTRAL-FLORIDA,temple,94,90
30,2014,FedExForum,Neutral,CENTRAL-FLORIDA,cincinnati,58,61
