,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Lawrence Joel Coliseum,Away,COLGATE,wake-forest,78,89
1,2014,Carrier Dome,Away,COLGATE,syracuse,50,69
2,2014,Cotterell Court,Home,COLGATE,cornell,81,58
3,2014,Cotterell Court,Home,COLGATE,saint-francis-pa,81,64
4,2014,Avron B. Fogelman Arena,Away,COLGATE,tulane,98,86
5,2014,Events Center,Away,COLGATE,binghamton,93,64
6,2014,Verizon Center,Away,COLGATE,georgetown,55,61
7,2014,Cotterell Court,Home,COLGATE,fordham,73,77
8,2014,SEFCU Arena,Away,COLGATE,albany-ny,69,60
9,2014,Cotterell Court,Home,COLGATE,Ursinus,79,51
10,2014,Cotterell Court,Home,COLGATE,columbia,70,76
11,2014,Cotterell Court,Home,COLGATE,lehigh,81,88
12,2014,Sojka Pavilion,Away,COLGATE,bucknell,57,68
13,2014,Hart Recreation Center,Away,COLGATE,holy-cross,64,73
14,2014,Cotterell Court,Home,COLGATE,american,62,69
15,2014,Agganis Arena,Away,COLGATE,boston-university,58,66
16,2014,Cotterell Court,Home,COLGATE,navy,63,41
17,2014,Cotterell Court,Home,COLGATE,army,63,66
18,2014,Reitz Arena,Away,COLGATE,loyola-md,60,67
19,2014,Kirby Sports Center,Away,COLGATE,lafayette,75,68
20,2014,Cotterell Court,Home,COLGATE,bucknell,68,79
21,2014,Cotterell Court,Home,COLGATE,holy-cross,68,69
22,2014,Bender Arena,Away,COLGATE,american,63,60
23,2014,Cotterell Court,Home,COLGATE,boston-university,74,76
24,2014,Alumni Hall,Away,COLGATE,navy,61,71
25,2014,Christl Arena,Away,COLGATE,army,66,74
26,2014,Cotterell Court,Home,COLGATE,loyola-md,84,60
27,2014,Cotterell Court,Home,COLGATE,lafayette,83,66
28,2014,Stabler Arena,Away,COLGATE,lehigh,74,57
29,2014,Cotterell Court,Home,COLGATE,navy,57,51
30,2014,Bender Arena,Away,COLGATE,american,50,59
