,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Qwest Center OMAHA,Home,CREIGHTON,alcorn-state,107,61
1,2014,Qwest Center OMAHA,Home,CREIGHTON,missouri-kansas-city,96,70
2,2014,Hagan Arena,Away,CREIGHTON,saint-josephs,83,79
3,2014,Qwest Center OMAHA,Home,CREIGHTON,tulsa,82,72
4,2014,Titan Gym,Neutral,CREIGHTON,arizona-state,88,60
5,2014,Titan Gym,Neutral,CREIGHTON,san-diego-state,80,86
6,2014,Honda Center,Neutral,CREIGHTON,george-washington,53,60
7,2014,The Walter Pyramid,Away,CREIGHTON,long-beach-state,78,61
8,2014,Qwest Center OMAHA,Home,CREIGHTON,nebraska,82,67
9,2014,Qwest Center OMAHA,Home,CREIGHTON,arkansas-pine-bluff,88,51
10,2014,Qwest Center OMAHA,Home,CREIGHTON,california,68,54
11,2014,Qwest Center OMAHA,Home,CREIGHTON,chicago-state,90,58
12,2014,Qwest Center OMAHA,Home,CREIGHTON,marquette,67,49
13,2014,Prudential Center,Away,CREIGHTON,seton-hall,79,66
14,2014,Allstate Arena,Away,CREIGHTON,depaul,81,62
15,2014,Qwest Center OMAHA,Home,CREIGHTON,xavier,95,89
16,2014,Qwest Center OMAHA,Home,CREIGHTON,butler,88,60
17,2014,Dunkin' Donuts Center,Away,CREIGHTON,providence,68,81
18,2014,Wells Fargo Center,Away,CREIGHTON,villanova,96,68
19,2014,Qwest Center OMAHA,Home,CREIGHTON,georgetown,76,63
20,2014,Qwest Center OMAHA,Home,CREIGHTON,st-johns-ny,63,60
21,2014,Qwest Center OMAHA,Home,CREIGHTON,depaul,78,66
22,2014,Madison Square Garden (IV),Away,CREIGHTON,st-johns-ny,65,70
23,2014,Hinkle Fieldhouse,Away,CREIGHTON,butler,68,63
24,2014,Qwest Center OMAHA,Home,CREIGHTON,villanova,101,80
25,2014,Bradley Center,Away,CREIGHTON,marquette,85,70
26,2014,Qwest Center OMAHA,Home,CREIGHTON,seton-hall,72,71
27,2014,Cintas Center,Away,CREIGHTON,xavier,69,75
28,2014,Verizon Center,Away,CREIGHTON,georgetown,63,75
29,2014,Qwest Center OMAHA,Home,CREIGHTON,providence,88,73
30,2014,,Neutral,CREIGHTON,depaul,84,62
31,2014,,Neutral,CREIGHTON,xavier,86,78
32,2014,Madison Square Garden (IV),Neutral,CREIGHTON,providence,58,65
33,2014,,Neutral,CREIGHTON,louisiana-lafayette,76,66
34,2014,AT&T Center,Neutral,CREIGHTON,baylor,55,85
