,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Stegeman Coliseum,Home,GEORGIA,wofford,72,52
1,2014,Stegeman Coliseum,Home,GEORGIA,georgia-tech,71,80
2,2014,,Neutral,GEORGIA,davidson,82,94
3,2014,Carolina First Arena,Neutral,GEORGIA,temple,81,83
4,2014,Carolina First Arena,Neutral,GEORGIA,nebraska,65,73
5,2014,Stegeman Coliseum,Home,GEORGIA,appalachian-state,71,53
6,2014,Stegeman Coliseum,Home,GEORGIA,chattanooga,87,56
7,2014,Stegeman Coliseum,Home,GEORGIA,lipscomb,84,75
8,2014,Stegeman Coliseum,Home,GEORGIA,gardner-webb,58,49
9,2014,Stegeman Coliseum,Home,GEORGIA,western-carolina,65,63
10,2014,Coors Events/Conference Center,Away,GEORGIA,colorado,70,84
11,2014,Charles E. Smith Center,Away,GEORGIA,george-washington,55,73
12,2014,Mizzou Arena,Away,GEORGIA,missouri,70,64
13,2014,Stegeman Coliseum,Home,GEORGIA,alabama,66,58
14,2014,Stephen C. O'Connell Center,Away,GEORGIA,florida,50,72
15,2014,Stegeman Coliseum,Home,GEORGIA,arkansas,66,61
16,2014,Stegeman Coliseum,Home,GEORGIA,south-carolina,97,76
17,2014,Rupp Arena,Away,GEORGIA,kentucky,54,79
18,2014,Stegeman Coliseum,Home,GEORGIA,vanderbilt,54,59
19,2014,Auburn Arena,Away,GEORGIA,auburn,67,74
20,2014,Stegeman Coliseum,Home,GEORGIA,louisiana-state,91,78
21,2014,Stegeman Coliseum,Home,GEORGIA,texas-am,62,50
22,2014,Humphrey Coliseum,Away,GEORGIA,mississippi-state,75,55
23,2014,Stegeman Coliseum,Home,GEORGIA,mississippi,61,60
24,2014,Thompson-Boling Arena,Away,GEORGIA,tennessee,48,67
25,2014,The Colonial Life Arena,Away,GEORGIA,south-carolina,73,56
26,2014,Stegeman Coliseum,Home,GEORGIA,missouri,71,56
27,2014,Bud Walton Arena,Away,GEORGIA,arkansas,75,87
28,2014,Stegeman Coliseum,Home,GEORGIA,mississippi-state,66,45
29,2014,Maravich Assembly Center,Away,GEORGIA,louisiana-state,69,61
30,2014,Georgia Dome,Neutral,GEORGIA,mississippi,75,73
31,2014,Georgia Dome,Neutral,GEORGIA,kentucky,58,70
32,2014,Stegeman Coliseum,Home,GEORGIA,vermont,63,56
33,2014,Stegeman Coliseum,Home,GEORGIA,louisiana-tech,71,79
