,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Stan Sheriff Center,Home,HAWAII,tennessee-state,85,55
1,2014,,Home,HAWAII,western-michigan,78,68
2,2014,,Home,HAWAII,new-mexico-state,88,95
3,2014,,Neutral,HAWAII,missouri,80,92
4,2014,Stan Sheriff Center,Home,HAWAII,Hawaii-Hilo,114,63
5,2014,Stan Sheriff Center,Home,HAWAII,new-orleans,91,58
6,2014,,Home,HAWAII,montana,72,61
7,2014,Rolle Activity Center,Away,HAWAII,northern-arizona,76,66
8,2014,Lahaina Civic Center,Away,HAWAII,Chaminade,94,84
9,2014,Stan Sheriff Center,Home,HAWAII,boise-state,61,62
10,2014,Stan Sheriff Center,Home,HAWAII,saint-marys-ca,76,74
11,2014,Stan Sheriff Center,Home,HAWAII,oregon-state,79,73
12,2014,Stan Sheriff Center,Home,HAWAII,norfolk-state,77,66
13,2014,Stan Sheriff Center,Home,HAWAII,nebraska-omaha,77,73
14,2014,Robert A. Mott Gymnasium,Away,HAWAII,cal-poly,65,77
15,2014,The Matadome,Away,HAWAII,cal-state-northridge,78,79
16,2014,Stan Sheriff Center,Home,HAWAII,california-riverside,100,69
17,2014,The Pavilion,Away,HAWAII,california-davis,90,73
18,2014,Bren Events Center,Away,HAWAII,california-irvine,90,86
19,2014,Stan Sheriff Center,Home,HAWAII,long-beach-state,83,92
20,2014,Stan Sheriff Center,Home,HAWAII,cal-state-northridge,77,63
21,2014,Stan Sheriff Center,Home,HAWAII,california-santa-barbara,64,75
22,2014,Stan Sheriff Center,Home,HAWAII,cal-poly,69,60
23,2014,UCR Student Rec Center,Away,HAWAII,california-riverside,87,76
24,2014,Titan Gym,Away,HAWAII,cal-state-fullerton,83,80
25,2014,Stan Sheriff Center,Home,HAWAII,california-irvine,56,60
26,2014,Stan Sheriff Center,Home,HAWAII,california-davis,86,77
27,2014,The Walter Pyramid,Away,HAWAII,long-beach-state,61,63
28,2014,The Thunderdome,Away,HAWAII,california-santa-barbara,77,86
29,2014,Stan Sheriff Center,Home,HAWAII,cal-state-fullerton,81,77
30,2014,,Neutral,HAWAII,cal-state-northridge,84,87
