,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,Louisiana College,101,67
1,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,mcneese-state,92,66
2,2014,Bud Walton Arena,Away,LOUISIANA-LAFAYETTE,arkansas,63,76
3,2014,Ferrell Center,Away,LOUISIANA-LAFAYETTE,baylor,68,87
4,2014,,Neutral,LOUISIANA-LAFAYETTE,oakland,84,75
5,2014,The HTC Center,Away,LOUISIANA-LAFAYETTE,coastal-carolina,73,69
6,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,northwestern-state,105,74
7,2014,Thomas Assembly Center,Away,LOUISIANA-LAFAYETTE,louisiana-tech,89,80
8,2014,KFC Yum! Center,Away,LOUISIANA-LAFAYETTE,louisville,74,113
9,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,houston,79,76
10,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,Centenary (LA),103,69
11,2014,Lee E. Williams Athletics and Assembly Center,Away,LOUISIANA-LAFAYETTE,jackson-state,70,73
12,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,Central Methodist,90,58
13,2014,Fant-Ewing Coliseum,Away,LOUISIANA-LAFAYETTE,louisiana-monroe,98,103
14,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,texas-arlington,90,70
15,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,texas-state,81,58
16,2014,Mitchell Center,Away,LOUISIANA-LAFAYETTE,south-alabama,73,81
17,2014,Trojan Arena,Away,LOUISIANA-LAFAYETTE,troy,72,59
18,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,georgia-state,70,77
19,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,western-kentucky,70,79
20,2014,Jack Stephens Center,Away,LOUISIANA-LAFAYETTE,arkansas-little-rock,69,80
21,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,louisiana-monroe,66,50
22,2014,College Park Center,Away,LOUISIANA-LAFAYETTE,texas-arlington,92,89
23,2014,Strahan Coliseum,Away,LOUISIANA-LAFAYETTE,texas-state,67,66
24,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,arkansas-little-rock,93,87
25,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,arkansas-state,85,67
26,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,troy,78,63
27,2014,GSU Sports Arena,Away,LOUISIANA-LAFAYETTE,georgia-state,77,80
28,2014,Cajundome,Home,LOUISIANA-LAFAYETTE,south-alabama,102,76
29,2014,E.A. Diddle Arena,Away,LOUISIANA-LAFAYETTE,western-kentucky,72,75
30,2014,Convocation Center,Away,LOUISIANA-LAFAYETTE,arkansas-state,77,76
31,2014,,Neutral,LOUISIANA-LAFAYETTE,texas-arlington,91,85
32,2014,,Neutral,LOUISIANA-LAFAYETTE,western-kentucky,73,72
33,2014,Kiefer Lakefront Arena,Neutral,LOUISIANA-LAFAYETTE,georgia-state,82,81
34,2014,,Neutral,LOUISIANA-LAFAYETTE,creighton,66,76
