,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,southern,78,75
1,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,north-florida,77,70
2,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,akron,80,73
3,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,arkansas-little-rock,76,59
4,2014,Stephen C. O'Connell Center,Away,MIDDLE-TENNESSEE,florida,59,79
5,2014,Regional Special Events Center,Away,MIDDLE-TENNESSEE,murray-state,80,62
6,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,south-alabama,65,55
7,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,belmont,58,70
8,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,Fisk,115,65
9,2014,C.M. Tad Smith Coliseum,Away,MIDDLE-TENNESSEE,mississippi,63,72
10,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,Tennessee Temple,102,52
11,2014,Fifth Third Arena,Away,MIDDLE-TENNESSEE,cincinnati,48,69
12,2014,,Neutral,MIDDLE-TENNESSEE,maine,85,89
13,2014,The McKenzie Arena,Neutral,MIDDLE-TENNESSEE,grand-canyon,79,56
14,2014,Gentry Center Complex,Away,MIDDLE-TENNESSEE,tennessee-state,74,66
15,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,alabama-birmingham,89,84
16,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,texas-el-paso,54,63
17,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,texas-san-antonio,80,58
18,2014,Donald W. Reynolds Center,Away,MIDDLE-TENNESSEE,tulsa,53,58
19,2014,Super Pit,Away,MIDDLE-TENNESSEE,north-texas,70,63
20,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,east-carolina,84,67
21,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,old-dominion,64,48
22,2014,FAU Arena,Away,MIDDLE-TENNESSEE,florida-atlantic,67,63
23,2014,US Century Bank Arena,Away,MIDDLE-TENNESSEE,florida-international,70,68
24,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,tulane,71,44
25,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,southern-mississippi,81,64
26,2014,Dale F. Halton Arena,Away,MIDDLE-TENNESSEE,charlotte,71,49
27,2014,Henderson Center,Away,MIDDLE-TENNESSEE,marshall,56,53
28,2014,Thomas Assembly Center,Away,MIDDLE-TENNESSEE,louisiana-tech,39,55
29,2014,Murphy Athletic Center,Home,MIDDLE-TENNESSEE,rice,65,41
30,2014,Bartow Arena,Away,MIDDLE-TENNESSEE,alabama-birmingham,55,53
31,2014,,Neutral,MIDDLE-TENNESSEE,old-dominion,62,48
32,2014,Don Haskins Center,Neutral,MIDDLE-TENNESSEE,tulsa,69,76
