,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,Emporia State,76,81
1,2014,Qwest Center OMAHA,Away,MISSOURI-KANSAS-CITY,creighton,70,96
2,2014,Ralston Arena,Away,MISSOURI-KANSAS-CITY,nebraska-omaha,71,101
3,2014,Skyhawk Arena,Away,MISSOURI-KANSAS-CITY,tennessee-martin,79,67
4,2014,James H. Hilton Coliseum,Away,MISSOURI-KANSAS-CITY,iowa-state,51,110
5,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,milwaukee,79,84
6,2014,KFC Yum! Center,Away,MISSOURI-KANSAS-CITY,louisville,62,90
7,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,youngstown-state,88,80
8,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,indiana-state,63,74
9,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,miami-oh,69,55
10,2014,Ervin J. Nutter Center,Away,MISSOURI-KANSAS-CITY,wright-state,49,61
11,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,south-dakota-state,60,65
12,2014,Cowan Spectrum,Away,MISSOURI-KANSAS-CITY,idaho,80,74
13,2014,KeyArena,Away,MISSOURI-KANSAS-CITY,seattle,95,84
14,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,chicago-state,66,68
15,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,texas-pan-american,66,78
16,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,new-mexico-state,68,66
17,2014,McKay Events Center,Away,MISSOURI-KANSAS-CITY,utah-valley,48,66
18,2014,Rabobank Arena,Away,MISSOURI-KANSAS-CITY,cal-state-bakersfield,70,69
19,2014,Show Me Center,Away,MISSOURI-KANSAS-CITY,southeast-missouri-state,81,91
20,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,grand-canyon,53,72
21,2014,Emil and Patricia Jones Convocation Center,Away,MISSOURI-KANSAS-CITY,chicago-state,74,81
22,2014,Pan American Center,Away,MISSOURI-KANSAS-CITY,new-mexico-state,48,71
23,2014,UTPA Fieldhouse,Away,MISSOURI-KANSAS-CITY,texas-pan-american,59,68
24,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,cal-state-bakersfield,69,74
25,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,utah-valley,74,56
26,2014,GCU Arena,Away,MISSOURI-KANSAS-CITY,grand-canyon,85,80
27,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,seattle,82,73
28,2014,Swinney Recreation Center,Home,MISSOURI-KANSAS-CITY,idaho,80,87
29,2014,,Neutral,MISSOURI-KANSAS-CITY,idaho,70,73
