,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,eastern-illinois,72,55
1,2014,Maples Pavilion,Away,NORTHWESTERN,stanford,58,71
2,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,illinois-state,64,68
3,2014,UIC Pavilion,Away,NORTHWESTERN,illinois-chicago,93,58
4,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,iupui,63,61
5,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,gardner-webb,72,59
6,2014,,Neutral,NORTHWESTERN,missouri,67,78
7,2014,Orleans Arena,Neutral,NORTHWESTERN,ucla,79,95
8,2014,RBC Center,Away,NORTHWESTERN,north-carolina-state,48,69
9,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,western-michigan,51,35
10,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,mississippi-valley-state,86,64
11,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,brown,58,52
12,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,depaul,56,57
13,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,wisconsin,49,76
14,2014,Crisler Arena,Away,NORTHWESTERN,michigan,51,74
15,2014,Carver-Hawkeye Arena,Away,NORTHWESTERN,iowa,67,93
16,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,illinois,49,43
17,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,michigan-state,40,54
18,2014,Assembly Hall,Away,NORTHWESTERN,indiana,54,47
19,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,purdue,63,60
20,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,iowa,50,76
21,2014,Kohl Center,Away,NORTHWESTERN,wisconsin,65,56
22,2014,Williams Arena,Away,NORTHWESTERN,minnesota,55,54
23,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,nebraska,49,53
24,2014,Breslin Events Center,Away,NORTHWESTERN,michigan-state,70,85
25,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,minnesota,48,54
26,2014,Value City Arena,Away,NORTHWESTERN,ohio-state,60,76
27,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,indiana,56,61
28,2014,Pinnacle Bank Arena,Away,NORTHWESTERN,nebraska,47,54
29,2014,Welsh-Ryan Arena,Home,NORTHWESTERN,penn-state,32,59
30,2014,Mackey Arena,Away,NORTHWESTERN,purdue,74,65
31,2014,Conseco Fieldhouse,Neutral,NORTHWESTERN,iowa,67,62
32,2014,,Neutral,NORTHWESTERN,michigan-state,51,67
