,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Dean Smith Center,Away,OAKLAND,north-carolina,61,84
1,2014,Pauley Pavilion,Away,OAKLAND,ucla,60,91
2,2014,Haas Pavilion,Away,OAKLAND,california,60,64
3,2014,McCarthey Athletic Center,Away,OAKLAND,gonzaga,67,82
4,2014,,Neutral,OAKLAND,louisiana-lafayette,75,84
5,2014,The HTC Center,Neutral,OAKLAND,st-francis-ny,62,68
6,2014,University Arena,Away,OAKLAND,western-michigan,88,99
7,2014,Athletics Center O'rena,Home,OAKLAND,Rochester (MI),86,51
8,2014,Athletics Center O'rena,Home,OAKLAND,ohio,73,56
9,2014,Assembly Hall,Away,OAKLAND,indiana,54,81
10,2014,,Neutral,OAKLAND,michigan-state,63,67
11,2014,Athletics Center O'rena,Home,OAKLAND,illinois-state,90,75
12,2014,Athletics Center O'rena,Home,OAKLAND,eastern-michigan,79,81
13,2014,Athletics Center O'rena,Home,OAKLAND,robert-morris,100,94
14,2014,Athletics Center O'rena,Home,OAKLAND,Defiance,87,66
15,2014,Ervin J. Nutter Center,Away,OAKLAND,wright-state,64,76
16,2014,Athletics Center O'rena,Home,OAKLAND,valparaiso,75,70
17,2014,Athletics Center O'rena,Home,OAKLAND,milwaukee,75,84
18,2014,Calihan Hall,Away,OAKLAND,detroit-mercy,77,69
19,2014,Henry J. Goodman Arena,Away,OAKLAND,cleveland-state,76,86
20,2014,Resch Center,Away,OAKLAND,green-bay,69,83
21,2014,Athletics Center O'rena,Home,OAKLAND,illinois-chicago,76,75
22,2014,Athletics Center O'rena,Home,OAKLAND,youngstown-state,86,85
23,2014,Klotsche Center,Away,OAKLAND,milwaukee,64,86
24,2014,Athletics Center O'rena,Home,OAKLAND,cleveland-state,85,92
25,2014,Athletics-Recreation Center,Away,OAKLAND,valparaiso,60,63
26,2014,Athletics Center O'rena,Home,OAKLAND,detroit-mercy,83,82
27,2014,Athletics Center O'rena,Home,OAKLAND,wright-state,71,72
28,2014,UIC Pavilion,Away,OAKLAND,illinois-chicago,86,71
29,2014,Athletics Center O'rena,Home,OAKLAND,green-bay,63,71
30,2014,Beeghly Center,Away,OAKLAND,youngstown-state,87,81
31,2014,Athletics Center O'rena,Home,OAKLAND,youngstown-state,96,92
32,2014,Resch Center,Neutral,OAKLAND,wright-state,57,73
