,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Robins Center,Home,RICHMOND,delaware,71,69
1,2014,Robins Center,Home,RICHMOND,belmont,69,61
2,2014,Robins Center,Home,RICHMOND,minnesota,59,74
3,2014,Robins Center,Home,RICHMOND,hofstra,74,63
4,2014,,Neutral,RICHMOND,north-carolina,72,82
5,2014,Mohegan Sun Arena,Neutral,RICHMOND,fairfield,68,47
6,2014,Clune Arena,Away,RICHMOND,air-force,83,60
7,2014,Robins Center,Home,RICHMOND,james-madison,68,53
8,2014,Kaplan Arena at William and Mary Hall,Away,RICHMOND,william-mary,71,60
9,2014,Lawrence Joel Coliseum,Away,RICHMOND,wake-forest,66,76
10,2014,Robins Center,Home,RICHMOND,coppin-state,71,49
11,2014,Robins Center,Home,RICHMOND,ohio,69,70
12,2014,Robins Center,Home,RICHMOND,old-dominion,67,58
13,2014,Matthews Arena,Away,RICHMOND,northeastern,70,66
14,2014,Stephen C. O'Connell Center,Away,RICHMOND,florida,58,67
15,2014,Reilly Center,Away,RICHMOND,st-bonaventure,70,84
16,2014,Rose Hill Gym,Away,RICHMOND,fordham,77,74
17,2014,Robins Center,Home,RICHMOND,dayton,73,64
18,2014,Robins Center,Home,RICHMOND,massachusetts,58,55
19,2014,Robins Center,Home,RICHMOND,saint-josephs,77,62
20,2014,Chaifetz Arena,Away,RICHMOND,saint-louis,57,77
21,2014,Alltel Pavilion at the Stuart C. Siegel Center,Away,RICHMOND,virginia-commonwealth,70,81
22,2014,Robins Center,Home,RICHMOND,st-bonaventure,64,62
23,2014,A.J. Palumbo Center,Away,RICHMOND,duquesne,75,58
24,2014,Robins Center,Home,RICHMOND,fordham,82,70
25,2014,Robins Center,Home,RICHMOND,george-washington,65,73
26,2014,Robins Center,Home,RICHMOND,la-salle,62,49
27,2014,Patriot Center,Away,RICHMOND,george-mason,60,69
28,2014,Thomas M. Ryan Center,Away,RICHMOND,rhode-island,43,66
29,2014,Robins Center,Home,RICHMOND,virginia-commonwealth,50,56
30,2014,University of Dayton Arena,Away,RICHMOND,dayton,48,60
31,2014,Barclays Center,Neutral,RICHMOND,duquesne,76,64
32,2014,Barclays Center,Neutral,RICHMOND,virginia-commonwealth,53,71
