,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Chaifetz Arena,Home,SAINT-LOUIS,southeast-missouri-state,87,64
1,2014,Sam Vadalabene Center,Away,SAINT-LOUIS,southern-illinois-edwardsville,82,58
2,2014,The SIU Arena,Away,SAINT-LOUIS,southern-illinois,76,67
3,2014,Chaifetz Arena,Home,SAINT-LOUIS,oral-roberts,72,55
4,2014,Chaifetz Arena,Home,SAINT-LOUIS,bowling-green-state,74,47
5,2014,Aventura Spa Palace Resort,Neutral,SAINT-LOUIS,wisconsin,57,63
6,2014,Aventura Spa Palace Resort,Neutral,SAINT-LOUIS,old-dominion,62,52
7,2014,Chaifetz Arena,Home,SAINT-LOUIS,wichita-state,65,70
8,2014,Chaifetz Arena,Home,SAINT-LOUIS,Rockhurst,68,43
9,2014,Athletics-Recreation Center,Away,SAINT-LOUIS,valparaiso,67,65
10,2014,Chaifetz Arena,Home,SAINT-LOUIS,wofford,66,52
11,2014,Chaifetz Arena,Home,SAINT-LOUIS,indiana-state,83,66
12,2014,Chaifetz Arena,Home,SAINT-LOUIS,north-carolina-at,79,57
13,2014,Memorial Gymnasium,Away,SAINT-LOUIS,vanderbilt,57,49
14,2014,Chaifetz Arena,Home,SAINT-LOUIS,yale,75,55
15,2014,Thomas M. Ryan Center,Away,SAINT-LOUIS,rhode-island,59,58
16,2014,University of Dayton Arena,Away,SAINT-LOUIS,dayton,67,59
17,2014,Chaifetz Arena,Home,SAINT-LOUIS,st-bonaventure,66,60
18,2014,Chaifetz Arena,Home,SAINT-LOUIS,fordham,70,48
19,2014,A.J. Palumbo Center,Away,SAINT-LOUIS,duquesne,76,72
20,2014,Chaifetz Arena,Home,SAINT-LOUIS,richmond,77,57
21,2014,Chaifetz Arena,Home,SAINT-LOUIS,george-mason,87,81
22,2014,Hagan Arena,Away,SAINT-LOUIS,saint-josephs,65,49
23,2014,Tom Gola Arena,Away,SAINT-LOUIS,la-salle,65,63
24,2014,Chaifetz Arena,Home,SAINT-LOUIS,virginia-commonwealth,64,62
25,2014,Patriot Center,Away,SAINT-LOUIS,george-mason,89,85
26,2014,Chaifetz Arena,Home,SAINT-LOUIS,george-washington,66,59
27,2014,Chaifetz Arena,Home,SAINT-LOUIS,duquesne,64,71
28,2014,Alltel Pavilion at the Stuart C. Siegel Center,Away,SAINT-LOUIS,virginia-commonwealth,56,67
29,2014,Chaifetz Arena,Home,SAINT-LOUIS,dayton,67,72
30,2014,Mullins Center,Away,SAINT-LOUIS,massachusetts,64,62
31,2014,Barclays Center,Neutral,SAINT-LOUIS,st-bonaventure,68,71
32,2014,Amway Arena,Neutral,SAINT-LOUIS,north-carolina-state,83,80
33,2014,,Neutral,SAINT-LOUIS,louisville,51,66
