,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Sun Dome,Home,SOUTH-FLORIDA,tennessee-tech,72,62
1,2014,Sun Dome,Home,SOUTH-FLORIDA,bethune-cookman,91,65
2,2014,Stroh Center,Away,SOUTH-FLORIDA,bowling-green-state,75,61
3,2014,Sun Dome,Home,SOUTH-FLORIDA,stetson,72,63
4,2014,Sun Dome,Home,SOUTH-FLORIDA,oklahoma-state,67,93
5,2014,Sun Dome,Home,SOUTH-FLORIDA,detroit-mercy,60,65
6,2014,Patriot Center,Away,SOUTH-FLORIDA,george-mason,68,66
7,2014,Sun Dome,Home,SOUTH-FLORIDA,alabama,66,64
8,2014,Sun Dome,Home,SOUTH-FLORIDA,florida-gulf-coast,68,66
9,2014,Sun Dome,Home,SOUTH-FLORIDA,florida-am,73,70
10,2014,,Neutral,SOUTH-FLORIDA,mississippi-state,66,71
11,2014,,Neutral,SOUTH-FLORIDA,santa-clara,65,66
12,2014,Renaissance Coliseum,Away,SOUTH-FLORIDA,bradley,61,57
13,2014,Sun Dome,Home,SOUTH-FLORIDA,memphis,73,88
14,2014,Sun Dome,Home,SOUTH-FLORIDA,houston,58,67
15,2014,Liacouras Center,Away,SOUTH-FLORIDA,temple,82,75
16,2014,Moody Coliseum,Away,SOUTH-FLORIDA,southern-methodist,54,71
17,2014,Sun Dome,Home,SOUTH-FLORIDA,cincinnati,54,61
18,2014,Sun Dome,Home,SOUTH-FLORIDA,louisville,47,86
19,2014,FedExForum,Away,SOUTH-FLORIDA,memphis,58,80
20,2014,Sun Dome,Home,SOUTH-FLORIDA,southern-methodist,78,71
21,2014,Fifth Third Arena,Away,SOUTH-FLORIDA,cincinnati,45,50
22,2014,New UCF Arena,Away,SOUTH-FLORIDA,central-florida,79,78
23,2014,Sun Dome,Home,SOUTH-FLORIDA,rutgers,69,79
24,2014,XL Center,Away,SOUTH-FLORIDA,connecticut,40,83
25,2014,Sun Dome,Home,SOUTH-FLORIDA,central-florida,74,75
26,2014,KFC Yum! Center,Away,SOUTH-FLORIDA,louisville,54,80
27,2014,Sun Dome,Home,SOUTH-FLORIDA,connecticut,56,61
28,2014,Louis Brown Athletic Center,Away,SOUTH-FLORIDA,rutgers,73,74
29,2014,Hofheinz Pavilion,Away,SOUTH-FLORIDA,houston,69,78
30,2014,Sun Dome,Home,SOUTH-FLORIDA,temple,65,66
31,2014,,Neutral,SOUTH-FLORIDA,rutgers,68,72
