,year,arena,location,team,opponent,team_points,opponent_points
0,2014,,Neutral,SOUTHERN-METHODIST,texas-christian,69,61
1,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,rhode-island,89,58
2,2014,Bud Walton Arena,Away,SOUTHERN-METHODIST,arkansas,78,89
3,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,texas-state,70,49
4,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,arkansas-pine-bluff,87,61
5,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,sam-houston-state,72,53
6,2014,American Bank Center,Neutral,SOUTHERN-METHODIST,virginia,73,76
7,2014,,Neutral,SOUTHERN-METHODIST,texas-am,55,52
8,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,mcneese-state,88,59
9,2014,UIC Pavilion,Away,SOUTHERN-METHODIST,illinois-chicago,73,65
10,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,texas-pan-american,82,56
11,2014,Arena-Auditorium,Away,SOUTHERN-METHODIST,wyoming,62,54
12,2014,Fifth Third Arena,Away,SOUTHERN-METHODIST,cincinnati,57,65
13,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,connecticut,74,65
14,2014,KFC Yum! Center,Away,SOUTHERN-METHODIST,louisville,63,71
15,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,south-florida,71,54
16,2014,New UCF Arena,Away,SOUTHERN-METHODIST,central-florida,58,46
17,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,hofstra,73,49
18,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,rutgers,70,56
19,2014,Hofheinz Pavilion,Away,SOUTHERN-METHODIST,houston,75,68
20,2014,Sun Dome,Away,SOUTHERN-METHODIST,south-florida,71,78
21,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,memphis,87,72
22,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,temple,75,52
23,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,cincinnati,76,55
24,2014,Louis Brown Athletic Center,Away,SOUTHERN-METHODIST,rutgers,77,65
25,2014,Liacouras Center,Away,SOUTHERN-METHODIST,temple,64,71
26,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,houston,68,64
27,2014,Harry A. Gampel Pavilion,Away,SOUTHERN-METHODIST,connecticut,64,55
28,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,central-florida,70,55
29,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,louisville,71,84
30,2014,FedExForum,Away,SOUTHERN-METHODIST,memphis,58,67
31,2014,,Neutral,SOUTHERN-METHODIST,houston,64,68
32,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,california-irvine,68,54
33,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,louisiana-state,80,67
34,2014,Moody Coliseum,Home,SOUTHERN-METHODIST,california,67,65
35,2014,Madison Square Garden (IV),Neutral,SOUTHERN-METHODIST,clemson,65,59
36,2014,,Neutral,SOUTHERN-METHODIST,minnesota,63,65
