,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Littlejohn Coliseum,Away,STETSON,clemson,51,71
1,2014,Purcell Pavilion at the Joyce Center,Away,STETSON,notre-dame,49,80
2,2014,Multipurpose Center and Teaching Gym,Away,STETSON,florida-am,60,63
3,2014,US Century Bank Arena,Away,STETSON,florida-international,66,75
4,2014,Sun Dome,Away,STETSON,south-florida,63,72
5,2014,Germain Arena,Neutral,STETSON,wagner,64,81
6,2014,,Neutral,STETSON,southern-illinois,48,67
7,2014,,Neutral,STETSON,north-carolina-greensboro,68,75
8,2014,Edmunds Center,Home,STETSON,davidson,80,86
9,2014,Edmunds Center,Home,STETSON,bethune-cookman,56,52
10,2014,New UCF Arena,Away,STETSON,central-florida,58,77
11,2014,Edmunds Center,Home,STETSON,florida-atlantic,64,62
12,2014,Edmunds Center,Home,STETSON,lipscomb,65,63
13,2014,Edmunds Center,Home,STETSON,northern-kentucky,65,67
14,2014,Edmunds Center,Home,STETSON,florida-gulf-coast,55,68
15,2014,Jacksonville Veteran's Memorial Arena,Away,STETSON,jacksonville,75,88
16,2014,UNF Arena,Away,STETSON,north-florida,60,74
17,2014,Edmunds Center,Home,STETSON,east-tennessee-state,64,58
18,2014,Edmunds Center,Home,STETSON,south-carolina-upstate,77,73
19,2014,KSU Convocation Center,Away,STETSON,kennesaw-state,68,65
20,2014,University Center,Away,STETSON,mercer,49,87
21,2014,Alico Arena,Away,STETSON,florida-gulf-coast,68,71
22,2014,Edmunds Center,Home,STETSON,north-florida,52,54
23,2014,Edmunds Center,Home,STETSON,jacksonville,73,68
24,2014,,Away,STETSON,east-tennessee-state,66,93
25,2014,G.B. Hodge Center,Away,STETSON,south-carolina-upstate,48,66
26,2014,Edmunds Center,Home,STETSON,kennesaw-state,63,67
27,2014,Edmunds Center,Home,STETSON,mercer,52,73
28,2014,Bank of Kentucky Center,Away,STETSON,northern-kentucky,58,96
29,2014,Allen Arena,Away,STETSON,lipscomb,76,83
30,2014,Alico Arena,Away,STETSON,florida-gulf-coast,55,77
