,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Cintas Center,Away,TENNESSEE,xavier,63,67
1,2014,Thompson-Boling Arena,Home,TENNESSEE,south-carolina-upstate,74,65
2,2014,Thompson-Boling Arena,Home,TENNESSEE,citadel,86,60
3,2014,Thompson-Boling Arena,Home,TENNESSEE,tennessee-state,88,67
4,2014,Atlantis Resort Arena,Neutral,TENNESSEE,texas-el-paso,70,78
5,2014,,Neutral,TENNESSEE,xavier,64,49
6,2014,,Neutral,TENNESSEE,wake-forest,82,63
7,2014,Thompson-Boling Arena,Home,TENNESSEE,tennessee-tech,84,63
8,2014,Charles Koch Arena,Away,TENNESSEE,wichita-state,61,70
9,2014,Thompson-Boling Arena,Home,TENNESSEE,north-carolina-state,58,65
10,2014,Thompson-Boling Arena,Home,TENNESSEE,morehead-state,82,67
11,2014,Thompson-Boling Arena,Home,TENNESSEE,virginia,87,52
12,2014,Thompson-Boling Arena,Home,TENNESSEE,Tusculum,98,51
13,2014,Maravich Assembly Center,Away,TENNESSEE,louisiana-state,68,50
14,2014,Thompson-Boling Arena,Home,TENNESSEE,texas-am,56,57
15,2014,Thompson-Boling Arena,Home,TENNESSEE,auburn,78,67
16,2014,Rupp Arena,Away,TENNESSEE,kentucky,66,74
17,2014,Thompson-Boling Arena,Home,TENNESSEE,arkansas,81,74
18,2014,Stephen C. O'Connell Center,Away,TENNESSEE,florida,41,67
19,2014,Thompson-Boling Arena,Home,TENNESSEE,mississippi,86,70
20,2014,Coleman Coliseum,Away,TENNESSEE,alabama,76,59
21,2014,Memorial Gymnasium,Away,TENNESSEE,vanderbilt,60,64
22,2014,Thompson-Boling Arena,Home,TENNESSEE,south-carolina,72,53
23,2014,Thompson-Boling Arena,Home,TENNESSEE,florida,58,67
24,2014,Mizzou Arena,Away,TENNESSEE,missouri,70,75
25,2014,Thompson-Boling Arena,Home,TENNESSEE,georgia,67,48
26,2014,Reed Arena,Away,TENNESSEE,texas-am,65,68
27,2014,Humphrey Coliseum,Away,TENNESSEE,mississippi-state,75,68
28,2014,Thompson-Boling Arena,Home,TENNESSEE,vanderbilt,76,38
29,2014,Auburn Arena,Away,TENNESSEE,auburn,82,54
30,2014,Thompson-Boling Arena,Home,TENNESSEE,missouri,72,45
31,2014,Georgia Dome,Neutral,TENNESSEE,south-carolina,59,44
32,2014,,Neutral,TENNESSEE,florida,49,56
33,2014,University of Dayton Arena,Neutral,TENNESSEE,iowa,78,65
34,2014,RBC Center,Neutral,TENNESSEE,massachusetts,86,67
35,2014,RBC Center,Neutral,TENNESSEE,mercer,83,63
36,2014,,Neutral,TENNESSEE,michigan,71,73
