,year,arena,location,team,opponent,team_points,opponent_points
0,2014,John F. Savage Hall,Home,TOLEDO,Northwestern Ohio,102,55
1,2014,Silvio O. Conte Forum,Away,TOLEDO,boston-college,95,92
2,2014,John F. Savage Hall,Home,TOLEDO,florida-am,79,69
3,2014,Calihan Hall,Neutral,TOLEDO,stony-brook,103,99
4,2014,Calihan Hall,Away,TOLEDO,detroit-mercy,80,78
5,2014,Calihan Hall,Neutral,TOLEDO,florida-atlantic,94,74
6,2014,John F. Savage Hall,Home,TOLEDO,detroit-mercy,91,75
7,2014,Charles L. Sewall Center,Away,TOLEDO,robert-morris,80,77
8,2014,John F. Savage Hall,Home,TOLEDO,sam-houston-state,77,61
9,2014,Convocation Center,Away,TOLEDO,arkansas-state,78,65
10,2014,John F. Savage Hall,Home,TOLEDO,cleveland-state,71,67
11,2014,John F. Savage Hall,Home,TOLEDO,coppin-state,85,66
12,2014,Allen Fieldhouse,Away,TOLEDO,kansas,83,93
13,2014,University Arena,Away,TOLEDO,western-michigan,76,87
14,2014,John F. Savage Hall,Home,TOLEDO,central-michigan,86,71
15,2014,John F. Savage Hall,Home,TOLEDO,buffalo,67,65
16,2014,James A. Rhodes Arena,Away,TOLEDO,akron,75,61
17,2014,John F. Savage Hall,Home,TOLEDO,northern-illinois,77,68
18,2014,John F. Savage Hall,Home,TOLEDO,kent-state,81,78
19,2014,Millett Hall,Away,TOLEDO,miami-oh,83,70
20,2014,Convocation Center,Away,TOLEDO,ohio,90,95
21,2014,John F. Savage Hall,Home,TOLEDO,bowling-green-state,83,76
22,2014,Worthen Arena,Away,TOLEDO,ball-state,80,73
23,2014,John F. Savage Hall,Home,TOLEDO,ohio,82,76
24,2014,Convocation Center,Away,TOLEDO,eastern-michigan,44,65
25,2014,Stroh Center,Away,TOLEDO,bowling-green-state,60,58
26,2014,John F. Savage Hall,Home,TOLEDO,ball-state,85,74
27,2014,Convocation Center,Away,TOLEDO,northern-illinois,66,74
28,2014,John F. Savage Hall,Home,TOLEDO,western-michigan,96,85
29,2014,Rose Arena,Away,TOLEDO,central-michigan,73,69
30,2014,John F. Savage Hall,Home,TOLEDO,eastern-michigan,77,66
31,2014,Quicken Loans Arena,Neutral,TOLEDO,eastern-michigan,59,44
32,2014,Quicken Loans Arena,Neutral,TOLEDO,western-michigan,77,98
33,2014,Reed Green Coliseum,Away,TOLEDO,southern-mississippi,59,66
