,year,arena,location,team,opponent,team_points,opponent_points
0,2014,McKay Events Center,Home,UTAH-VALLEY,iupui,74,66
1,2014,McKay Events Center,Home,UTAH-VALLEY,north-carolina-at,78,71
2,2014,Gallagher-Iba Arena,Away,UTAH-VALLEY,oklahoma-state,40,93
3,2014,Matthew Knight Arena,Away,UTAH-VALLEY,oregon,54,69
4,2014,Firestone Fieldhouse,Away,UTAH-VALLEY,pepperdine,53,58
5,2014,Eblen Center,Away,UTAH-VALLEY,tennessee-tech,71,74
6,2014,DakotaDome,Away,UTAH-VALLEY,south-dakota,67,71
7,2014,McKay Events Center,Home,UTAH-VALLEY,St. Katherine,89,37
8,2014,McKay Events Center,Home,UTAH-VALLEY,weber-state,62,59
9,2014,Dee Glen Smith Spectrum,Away,UTAH-VALLEY,utah-state,60,71
10,2014,McKay Events Center,Home,UTAH-VALLEY,Haskell Indian Nations Institute,103,64
11,2014,McKay Events Center,Home,UTAH-VALLEY,north-dakota-state,70,74
12,2014,McKay Events Center,Home,UTAH-VALLEY,tennessee-tech,75,66
13,2014,Rabobank Arena,Away,UTAH-VALLEY,cal-state-bakersfield,82,74
14,2014,McKay Events Center,Home,UTAH-VALLEY,grand-canyon,65,58
15,2014,Cowan Spectrum,Away,UTAH-VALLEY,idaho,71,66
16,2014,KeyArena,Away,UTAH-VALLEY,seattle,52,51
17,2014,McKay Events Center,Home,UTAH-VALLEY,missouri-kansas-city,66,48
18,2014,McKay Events Center,Home,UTAH-VALLEY,chicago-state,62,55
19,2014,UTPA Fieldhouse,Away,UTAH-VALLEY,texas-pan-american,67,53
20,2014,Pan American Center,Away,UTAH-VALLEY,new-mexico-state,49,72
21,2014,GCU Arena,Away,UTAH-VALLEY,grand-canyon,79,68
22,2014,McKay Events Center,Home,UTAH-VALLEY,seattle,57,71
23,2014,McKay Events Center,Home,UTAH-VALLEY,idaho,89,88
24,2014,Emil and Patricia Jones Convocation Center,Away,UTAH-VALLEY,chicago-state,79,70
25,2014,Swinney Recreation Center,Away,UTAH-VALLEY,missouri-kansas-city,56,74
26,2014,McKay Events Center,Home,UTAH-VALLEY,new-mexico-state,66,61
27,2014,McKay Events Center,Home,UTAH-VALLEY,texas-pan-american,45,42
28,2014,McKay Events Center,Home,UTAH-VALLEY,cal-state-bakersfield,64,55
29,2014,Orleans Arena,Neutral,UTAH-VALLEY,texas-pan-american,83,63
30,2014,,Neutral,UTAH-VALLEY,idaho,69,74
31,2014,Haas Pavilion,Away,UTAH-VALLEY,california,64,77
