,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Jon M. Huntsman Center,Away,BALL-STATE,utah,72,90
1,2015,Worthen Arena,Home,BALL-STATE,Indiana-Kokomo,101,62
2,2015,IUPUI Gymnasium,Away,BALL-STATE,iupui,69,71
3,2015,Worthen Arena,Home,BALL-STATE,grambling,88,46
4,2015,Lantz Arena,Away,BALL-STATE,eastern-illinois,54,61
5,2015,Worthen Arena,Home,BALL-STATE,indiana-state,70,63
6,2015,Athletics-Recreation Center,Away,BALL-STATE,valparaiso,62,65
7,2015,Worthen Arena,Home,BALL-STATE,james-madison,52,72
8,2015,Viejas Arena,Away,BALL-STATE,san-diego-state,57,70
9,2015,Worthen Arena,Home,BALL-STATE,longwood,69,64
10,2015,Worthen Arena,Home,BALL-STATE,bethune-cookman,51,48
11,2015,Convocation Center,Away,BALL-STATE,eastern-michigan,60,59
12,2015,Worthen Arena,Home,BALL-STATE,central-michigan,83,65
13,2015,University Arena,Away,BALL-STATE,western-michigan,93,95
14,2015,Stroh Center,Away,BALL-STATE,bowling-green-state,46,58
15,2015,Worthen Arena,Home,BALL-STATE,ohio,73,82
16,2015,Worthen Arena,Home,BALL-STATE,kent-state,52,63
17,2015,James A. Rhodes Arena,Away,BALL-STATE,akron,47,59
18,2015,Millett Hall,Away,BALL-STATE,miami-oh,73,79
19,2015,Worthen Arena,Home,BALL-STATE,buffalo,78,82
20,2015,Worthen Arena,Home,BALL-STATE,toledo,61,72
21,2015,Convocation Center,Away,BALL-STATE,northern-illinois,63,75
22,2015,Worthen Arena,Home,BALL-STATE,bowling-green-state,65,79
23,2015,Memorial Athletic & Convocation Center,Away,BALL-STATE,kent-state,53,58
24,2015,McGuirk Arena,Away,BALL-STATE,central-michigan,60,83
25,2015,Worthen Arena,Home,BALL-STATE,western-michigan,48,53
26,2015,John F. Savage Hall,Away,BALL-STATE,toledo,59,70
27,2015,Worthen Arena,Home,BALL-STATE,eastern-michigan,60,67
28,2015,Worthen Arena,Home,BALL-STATE,northern-illinois,67,71
29,2015,Stroh Center,Away,BALL-STATE,bowling-green-state,75,88
