,year,arena,location,team,opponent,team_points,opponent_points
0,2015,TD Bank Sports Center,Neutral,CENTRAL-CONNECTICUT-STATE,fairfield,63,71
1,2015,Xfinity Center,Away,CENTRAL-CONNECTICUT-STATE,maryland,57,93
2,2015,Multipurpose Activity Center,Neutral,CENTRAL-CONNECTICUT-STATE,towson,49,58
3,2015,Multipurpose Activity Center,Away,CENTRAL-CONNECTICUT-STATE,monmouth,50,65
4,2015,Multipurpose Activity Center,Neutral,CENTRAL-CONNECTICUT-STATE,bethune-cookman,60,65
5,2015,Williams Arena at Minges Coliseum,Away,CENTRAL-CONNECTICUT-STATE,east-carolina,59,74
6,2015,Alumni Gymnasium,Away,CENTRAL-CONNECTICUT-STATE,rider,56,69
7,2015,Chase Family Arena,Away,CENTRAL-CONNECTICUT-STATE,hartford,56,47
8,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,maryland-baltimore-county,65,53
9,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,njit,76,84
10,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,brown,55,67
11,2015,XL Center,Away,CENTRAL-CONNECTICUT-STATE,connecticut,48,81
12,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,hofstra,56,84
13,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,fairleigh-dickinson,67,73
14,2015,William H. Pitt Center,Away,CENTRAL-CONNECTICUT-STATE,sacred-heart,66,75
15,2015,Knott Arena,Away,CENTRAL-CONNECTICUT-STATE,mount-st-marys,51,82
16,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,robert-morris,60,72
17,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,long-island-university,66,71
18,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,bryant,54,70
19,2015,Madison Square Garden (IV),Neutral,CENTRAL-CONNECTICUT-STATE,st-francis-ny,51,63
20,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,wagner,53,50
21,2015,Steinberg Wellness Center,Away,CENTRAL-CONNECTICUT-STATE,long-island-university,55,67
22,2015,Spiro Sports Center,Away,CENTRAL-CONNECTICUT-STATE,wagner,55,86
23,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,st-francis-ny,81,90
24,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,mount-st-marys,46,63
25,2015,DeGol Arena,Away,CENTRAL-CONNECTICUT-STATE,saint-francis-pa,63,74
26,2015,Charles L. Sewall Center,Away,CENTRAL-CONNECTICUT-STATE,robert-morris,52,53
27,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,saint-francis-pa,53,50
28,2015,Detrick Gymnasium,Home,CENTRAL-CONNECTICUT-STATE,sacred-heart,76,73
29,2015,Chace Athletic Center,Away,CENTRAL-CONNECTICUT-STATE,bryant,69,77
30,2015,Rothman Center,Away,CENTRAL-CONNECTICUT-STATE,fairleigh-dickinson,66,73
