,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Belk Arena,Home,DAVIDSON,Catholic,102,66
1,2015,Belk Arena,Home,DAVIDSON,campbell,86,51
2,2015,Times Warner Cable Arena,Neutral,DAVIDSON,north-carolina,72,90
3,2015,CFE Arena,Away,DAVIDSON,central-florida,95,69
4,2015,Belk Arena,Home,DAVIDSON,north-carolina-wilmington,72,49
5,2015,Belk Arena,Home,DAVIDSON,charlotte,92,86
6,2015,Belk Arena,Home,DAVIDSON,stetson,90,59
7,2015,Adams Center/Dahlberg Arena,Away,DAVIDSON,montana,110,99
8,2015,Belk Arena,Home,DAVIDSON,niagara,78,58
9,2015,TD Arena,Away,DAVIDSON,college-of-charleston,80,68
10,2015,John Paul Jones Arena,Away,DAVIDSON,virginia,72,83
11,2015,Belk Arena,Home,DAVIDSON,richmond,81,67
12,2015,Stuart Siegel Center,Away,DAVIDSON,virginia-commonwealth,65,71
13,2015,Belk Arena,Home,DAVIDSON,saint-louis,89,54
14,2015,Mullins Center,Away,DAVIDSON,massachusetts,71,63
15,2015,Robins Center,Away,DAVIDSON,richmond,63,89
16,2015,Belk Arena,Home,DAVIDSON,dayton,77,60
17,2015,EagleBank Arena,Away,DAVIDSON,george-mason,80,73
18,2015,Hagan Arena,Away,DAVIDSON,saint-josephs,70,75
19,2015,Belk Arena,Home,DAVIDSON,st-bonaventure,61,62
20,2015,Belk Arena,Home,DAVIDSON,duquesne,95,69
21,2015,Belk Arena,Home,DAVIDSON,george-mason,92,71
22,2015,Tom Gola Arena,Away,DAVIDSON,la-salle,77,69
23,2015,Charles E. Smith Center,Away,DAVIDSON,george-washington,65,63
24,2015,Belk Arena,Home,DAVIDSON,fordham,76,57
25,2015,Thomas M. Ryan Center,Away,DAVIDSON,rhode-island,60,59
26,2015,Belk Arena,Home,DAVIDSON,george-washington,77,66
27,2015,Belk Arena,Home,DAVIDSON,virginia-commonwealth,82,55
28,2015,A.J. Palumbo Center,Away,DAVIDSON,duquesne,107,78
29,2015,Barclays Center,Neutral,DAVIDSON,la-salle,67,66
30,2015,Barclays Center,Neutral,DAVIDSON,virginia-commonwealth,73,93
31,2015,KeyArena,Neutral,DAVIDSON,iowa,52,83
