,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Lavietes Pavilion,Home,HARVARD,Massachusetts Institute of Technology,73,52
1,2015,TD Garden,Neutral,HARVARD,holy-cross,57,58
2,2015,Lavietes Pavilion,Home,HARVARD,florida-atlantic,71,49
3,2015,Lavietes Pavilion,Home,HARVARD,houston,84,63
4,2015,Lavietes Pavilion,Home,HARVARD,massachusetts,75,73
5,2015,Lavietes Pavilion,Home,HARVARD,northeastern,60,46
6,2015,Roy L. Patrick Gymnasium,Away,HARVARD,vermont,64,52
7,2015,Lavietes Pavilion,Home,HARVARD,boston-university,70,56
8,2015,John Paul Jones Arena,Away,HARVARD,virginia,27,76
9,2015,Wells Fargo Arena,Away,HARVARD,arizona-state,46,56
10,2015,Grand Canyon University Arena,Away,HARVARD,grand-canyon,72,59
11,2015,Lavietes Pavilion,Home,HARVARD,Saint Rose,84,38
12,2015,Leede Arena,Away,HARVARD,dartmouth,57,46
13,2015,Silvio O. Conte Forum,Away,HARVARD,boston-college,57,64
14,2015,Chace Athletic Center,Away,HARVARD,bryant,66,57
15,2015,Lavietes Pavilion,Home,HARVARD,dartmouth,61,70
16,2015,Jadwin Gymnasium,Away,HARVARD,princeton,75,72
17,2015,The Palestra,Away,HARVARD,pennsylvania,63,38
18,2015,Pizzitola Sports Center,Away,HARVARD,brown,76,74
19,2015,John J. Lee Ampitheater,Away,HARVARD,yale,52,50
20,2015,Lavietes Pavilion,Home,HARVARD,columbia,72,68
21,2015,Lavietes Pavilion,Home,HARVARD,cornell,61,40
22,2015,Lavietes Pavilion,Home,HARVARD,pennsylvania,69,46
23,2015,Lavietes Pavilion,Home,HARVARD,princeton,63,55
24,2015,Newman Arena,Away,HARVARD,cornell,49,57
25,2015,Levien Gym,Away,HARVARD,columbia,80,70
26,2015,Lavietes Pavilion,Home,HARVARD,yale,52,62
27,2015,Lavietes Pavilion,Home,HARVARD,brown,72,62
28,2015,The Palestra,Neutral,HARVARD,yale,53,51
29,2015,Jacksonville Veteran's Memorial Arena,Neutral,HARVARD,north-carolina,65,67
