,year,arena,location,team,opponent,team_points,opponent_points
0,2015,BankUnited Center,Away,HOWARD,miami-fl,49,84
1,2015,Burr Gymnasium,Home,HOWARD,Goucher,101,54
2,2015,Kaplan Arena at William and Mary Hall,Away,HOWARD,william-mary,49,56
3,2015,Donald N. Dedmon Center,Away,HOWARD,radford,52,61
4,2015,Burr Gymnasium,Home,HOWARD,Hood,78,51
5,2015,Retriever Activities Center,Away,HOWARD,maryland-baltimore-county,68,54
6,2015,Burr Gymnasium,Home,HOWARD,Gwynedd-Mercy,96,83
7,2015,A.J. Palumbo Center,Away,HOWARD,duquesne,63,81
8,2015,Burr Gymnasium,Home,HOWARD,north-carolina-at,54,47
9,2015,McLendon-McDougald Gym,Home,HOWARD,north-carolina-central,39,61
10,2015,Robins Center,Away,HOWARD,richmond,41,54
11,2015,Burr Gymnasium,Home,HOWARD,iupui,57,47
12,2015,Firestone Fieldhouse,Away,HOWARD,pepperdine,45,53
13,2015,Mitchell Center,Away,HOWARD,south-alabama,73,60
14,2015,Rose Hill Gym,Away,HOWARD,fordham,59,74
15,2015,Newman Arena,Away,HOWARD,cornell,60,70
16,2015,Burr Gymnasium,Home,HOWARD,coppin-state,71,69
17,2015,Burr Gymnasium,Home,HOWARD,delaware-state,76,79
18,2015,Al Lawson Center,Away,HOWARD,florida-am,59,50
19,2015,Moore Gymnasium,Away,HOWARD,bethune-cookman,45,42
20,2015,Burr Gymnasium,Home,HOWARD,morgan-state,64,48
21,2015,Burr Gymnasium,Home,HOWARD,maryland-eastern-shore,83,74
22,2015,Echols Memorial Hall,Away,HOWARD,norfolk-state,69,72
23,2015,Hampton Convocation Center,Away,HOWARD,hampton,69,73
24,2015,Physical Education Complex,Away,HOWARD,coppin-state,77,60
25,2015,Hytche Athletic Center,Away,HOWARD,maryland-eastern-shore,60,71
26,2015,Tiger Arena,Away,HOWARD,savannah-state,50,48
27,2015,SHM Memorial Center,Away,HOWARD,south-carolina-state,75,65
28,2015,Burr Gymnasium,Home,HOWARD,hampton,67,68
29,2015,Burr Gymnasium,Home,HOWARD,norfolk-state,61,59
30,2015,Estelle and Zoom Fleisher Athletic Center,Away,HOWARD,njit,62,71
31,2015,Norfolk Scope,Neutral,HOWARD,delaware-state,60,65
