,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Assembly Hall,Home,INDIANA,mississippi-valley-state,116,65
1,2015,Assembly Hall,Home,INDIANA,texas-southern,83,64
2,2015,Assembly Hall,Home,INDIANA,southern-methodist,74,68
3,2015,Assembly Hall,Home,INDIANA,lamar,85,72
4,2015,Assembly Hall,Home,INDIANA,eastern-washington,86,88
5,2015,Assembly Hall,Home,INDIANA,north-carolina-greensboro,87,79
6,2015,Assembly Hall,Home,INDIANA,pittsburgh,81,69
7,2015,Assembly Hall,Home,INDIANA,savannah-state,95,49
8,2015,Madison Square Garden (IV),Neutral,INDIANA,louisville,74,94
9,2015,Assembly Hall,Home,INDIANA,grand-canyon,94,66
10,2015,Bankers Life Fieldhouse,Neutral,INDIANA,butler,82,73
11,2015,Assembly Hall,Home,INDIANA,new-orleans,79,59
12,2015,Madison Square Garden (IV),Neutral,INDIANA,georgetown,87,91
13,2015,Pinnacle Bank Arena,Away,INDIANA,nebraska,70,65
14,2015,Breslin Events Center,Away,INDIANA,michigan-state,50,70
15,2015,Assembly Hall,Home,INDIANA,ohio-state,69,66
16,2015,Assembly Hall,Home,INDIANA,penn-state,76,73
17,2015,State Farm Center,Away,INDIANA,illinois,80,74
18,2015,Assembly Hall,Home,INDIANA,maryland,89,70
19,2015,Value City Arena,Away,INDIANA,ohio-state,70,82
20,2015,Mackey Arena,Away,INDIANA,purdue,67,83
21,2015,Assembly Hall,Home,INDIANA,rutgers,72,64
22,2015,Kohl Center,Away,INDIANA,wisconsin,78,92
23,2015,Assembly Hall,Home,INDIANA,michigan,70,67
24,2015,Xfinity Center,Away,INDIANA,maryland,66,68
25,2015,Assembly Hall,Home,INDIANA,minnesota,90,71
26,2015,Assembly Hall,Home,INDIANA,purdue,63,67
27,2015,Louis Brown Athletic Center,Away,INDIANA,rutgers,84,54
28,2015,Welsh-Ryan Arena,Away,INDIANA,northwestern,65,72
29,2015,Assembly Hall,Home,INDIANA,iowa,63,77
30,2015,Assembly Hall,Home,INDIANA,michigan-state,72,74
31,2015,United Center,Neutral,INDIANA,northwestern,71,56
32,2015,United Center,Neutral,INDIANA,maryland,69,75
33,2015,CenturyLink Center,Neutral,INDIANA,wichita-state,76,81
