,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Carver-Hawkeye Arena,Home,IOWA,hampton,90,56
1,2015,Carver-Hawkeye Arena,Home,IOWA,north-dakota-state,87,56
2,2015,Madison Square Garden (IV),Neutral,IOWA,texas,57,71
3,2015,Madison Square Garden (IV),Neutral,IOWA,syracuse,63,66
4,2015,Carver-Hawkeye Arena,Home,IOWA,pepperdine,72,61
5,2015,Carver-Hawkeye Arena,Home,IOWA,northern-illinois,70,49
6,2015,Carver-Hawkeye Arena,Home,IOWA,longwood,77,44
7,2015,Dean Smith Center,Away,IOWA,north-carolina,60,55
8,2015,Carver-Hawkeye Arena,Home,IOWA,maryland-baltimore-county,77,47
9,2015,Carver-Hawkeye Arena,Home,IOWA,alcorn-state,67,44
10,2015,Carver-Hawkeye Arena,Home,IOWA,iowa-state,75,90
11,2015,Wells Fargo Arena,Away,IOWA,northern-iowa,44,56
12,2015,Carver-Hawkeye Arena,Home,IOWA,north-florida,80,70
13,2015,Value City Arena,Away,IOWA,ohio-state,71,65
14,2015,Carver-Hawkeye Arena,Home,IOWA,nebraska,70,59
15,2015,Carver-Hawkeye Arena,Home,IOWA,michigan-state,61,75
16,2015,Williams Arena,Away,IOWA,minnesota,77,75
17,2015,Carver-Hawkeye Arena,Home,IOWA,ohio-state,76,67
18,2015,Kohl Center,Away,IOWA,wisconsin,50,82
19,2015,Mackey Arena,Away,IOWA,purdue,63,67
20,2015,Carver-Hawkeye Arena,Home,IOWA,wisconsin,63,74
21,2015,Crisler Arena,Away,IOWA,michigan,72,54
22,2015,Carver-Hawkeye Arena,Home,IOWA,maryland,71,55
23,2015,Carver-Hawkeye Arena,Home,IOWA,minnesota,59,64
24,2015,Welsh-Ryan Arena,Away,IOWA,northwestern,61,66
25,2015,Carver-Hawkeye Arena,Home,IOWA,rutgers,81,47
26,2015,Pinnacle Bank Arena,Away,IOWA,nebraska,74,46
27,2015,Carver-Hawkeye Arena,Home,IOWA,illinois,68,60
28,2015,Bryce Jordan Center,Away,IOWA,penn-state,81,77
29,2015,Assembly Hall,Away,IOWA,indiana,77,63
30,2015,Carver-Hawkeye Arena,Home,IOWA,northwestern,69,52
31,2015,United Center,Neutral,IOWA,penn-state,58,67
32,2015,KeyArena,Neutral,IOWA,davidson,83,52
33,2015,KeyArena,Neutral,IOWA,gonzaga,68,87
