,year,arena,location,team,opponent,team_points,opponent_points
0,2015,JMU Convocation Center,Home,JAMES-MADISON,virginia,51,79
1,2015,JMU Convocation Center,Home,JAMES-MADISON,radford,74,71
2,2015,JMU Convocation Center,Home,JAMES-MADISON,longwood,82,60
3,2015,JMU Convocation Center,Home,JAMES-MADISON,colgate,77,71
4,2015,JMU Convocation Center,Home,JAMES-MADISON,sacred-heart,79,72
5,2015,Value City Arena,Away,JAMES-MADISON,ohio-state,56,73
6,2015,JMU Convocation Center,Home,JAMES-MADISON,campbell,63,61
7,2015,JMU Convocation Center,Home,JAMES-MADISON,richmond,51,46
8,2015,Williams Arena at Minges Coliseum,Away,JAMES-MADISON,east-carolina,58,70
9,2015,Worthen Arena,Away,JAMES-MADISON,ball-state,72,52
10,2015,JMU Convocation Center,Home,JAMES-MADISON,high-point,71,80
11,2015,JMU Convocation Center,Home,JAMES-MADISON,norfolk-state,71,74
12,2015,JMU Convocation Center,Home,JAMES-MADISON,valparaiso,52,79
13,2015,JMU Convocation Center,Home,JAMES-MADISON,towson,61,52
14,2015,TD Arena,Away,JAMES-MADISON,college-of-charleston,61,50
15,2015,JMU Convocation Center,Home,JAMES-MADISON,northeastern,59,65
16,2015,Kaplan Arena at William and Mary Hall,Away,JAMES-MADISON,william-mary,73,81
17,2015,Daskalakis Athletic Center,Away,JAMES-MADISON,drexel,54,35
18,2015,JMU Convocation Center,Home,JAMES-MADISON,elon,75,72
19,2015,Matthews Arena,Away,JAMES-MADISON,northeastern,59,82
20,2015,Mack Sports Complex,Away,JAMES-MADISON,hofstra,69,63
21,2015,JMU Convocation Center,Home,JAMES-MADISON,delaware,88,82
22,2015,JMU Convocation Center,Home,JAMES-MADISON,william-mary,65,84
23,2015,JMU Convocation Center,Home,JAMES-MADISON,north-carolina-wilmington,65,77
24,2015,SECU Arena,Away,JAMES-MADISON,towson,63,61
25,2015,Bob Carpenter Center,Away,JAMES-MADISON,delaware,67,54
26,2015,Alumni Gym,Away,JAMES-MADISON,elon,86,75
27,2015,JMU Convocation Center,Home,JAMES-MADISON,drexel,82,78
28,2015,JMU Convocation Center,Home,JAMES-MADISON,college-of-charleston,68,61
29,2015,Trask Coliseum,Away,JAMES-MADISON,north-carolina-wilmington,54,74
30,2015,JMU Convocation Center,Home,JAMES-MADISON,hofstra,82,73
31,2015,Royal Farms Arena,Neutral,JAMES-MADISON,hofstra,57,74
32,2015,G.B. Hodge Center,Away,JAMES-MADISON,south-carolina-upstate,72,73
