,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Rupp Arena,Home,KENTUCKY,grand-canyon,85,45
1,2015,Rupp Arena,Home,KENTUCKY,buffalo,71,52
2,2015,Bankers Life Fieldhouse,Neutral,KENTUCKY,kansas,72,40
3,2015,Rupp Arena,Home,KENTUCKY,boston-university,89,65
4,2015,Rupp Arena,Home,KENTUCKY,montana-state,86,28
5,2015,Rupp Arena,Home,KENTUCKY,texas-arlington,92,44
6,2015,Rupp Arena,Home,KENTUCKY,providence,58,38
7,2015,Rupp Arena,Home,KENTUCKY,texas,63,51
8,2015,Rupp Arena,Home,KENTUCKY,eastern-kentucky,82,49
9,2015,Rupp Arena,Home,KENTUCKY,columbia,56,46
10,2015,Rupp Arena,Home,KENTUCKY,north-carolina,84,70
11,2015,United Center,Neutral,KENTUCKY,ucla,83,44
12,2015,KFC Yum! Center,Away,KENTUCKY,louisville,58,50
13,2015,Rupp Arena,Home,KENTUCKY,mississippi,89,86
14,2015,Reed Arena,Away,KENTUCKY,texas-am,70,64
15,2015,Rupp Arena,Home,KENTUCKY,missouri,86,37
16,2015,Coleman Coliseum,Away,KENTUCKY,alabama,70,48
17,2015,Rupp Arena,Home,KENTUCKY,vanderbilt,65,57
18,2015,The Colonial Life Arena,Away,KENTUCKY,south-carolina,58,43
19,2015,Mizzou Arena,Away,KENTUCKY,missouri,69,53
20,2015,Rupp Arena,Home,KENTUCKY,alabama,70,55
21,2015,Rupp Arena,Home,KENTUCKY,georgia,69,58
22,2015,Stephen C. O'Connell Center,Away,KENTUCKY,florida,68,61
23,2015,Maravich Assembly Center,Away,KENTUCKY,louisiana-state,71,69
24,2015,Rupp Arena,Home,KENTUCKY,south-carolina,77,43
25,2015,Thompson-Boling Arena,Away,KENTUCKY,tennessee,66,48
26,2015,Rupp Arena,Home,KENTUCKY,auburn,110,75
27,2015,Humphrey Coliseum,Away,KENTUCKY,mississippi-state,74,56
28,2015,Rupp Arena,Home,KENTUCKY,arkansas,84,67
29,2015,Stegeman Coliseum,Away,KENTUCKY,georgia,72,64
30,2015,Rupp Arena,Home,KENTUCKY,florida,67,50
31,2015,Bridgestone Arena,Neutral,KENTUCKY,florida,64,49
32,2015,Bridgestone Arena,Neutral,KENTUCKY,auburn,91,67
33,2015,Bridgestone Arena,Neutral,KENTUCKY,arkansas,78,63
34,2015,KFC Yum! Center,Neutral,KENTUCKY,hampton,79,56
35,2015,KFC Yum! Center,Neutral,KENTUCKY,cincinnati,64,51
36,2015,Quicken Loans Arena,Neutral,KENTUCKY,west-virginia,78,39
37,2015,Quicken Loans Arena,Neutral,KENTUCKY,notre-dame,68,66
38,2015,Lucas Oil Stadium,Neutral,KENTUCKY,wisconsin,64,71
