,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Vines Center,Home,LIBERTY,Randolph,69,45
1,2015,Vines Center,Home,LIBERTY,delaware,61,55
2,2015,Cassell Coliseum,Away,LIBERTY,virginia-tech,63,73
3,2015,Millett Hall,Away,LIBERTY,miami-oh,52,63
4,2015,Hard Rock Hotel Riviera Maya,Neutral,LIBERTY,north-florida,57,77
5,2015,Hard Rock Hotel Riviera Maya,Neutral,LIBERTY,morgan-state,50,51
6,2015,Vines Center,Home,LIBERTY,furman,66,52
7,2015,Vines Center,Home,LIBERTY,st-francis-ny,54,65
8,2015,Vines Center,Home,LIBERTY,Bluefield (WV),79,61
9,2015,Trask Coliseum,Away,LIBERTY,north-carolina-wilmington,70,73
10,2015,Vines Center,Home,LIBERTY,Central Pennsylvania College,94,65
11,2015,Jadwin Gymnasium,Away,LIBERTY,princeton,47,65
12,2015,Vines Center,Home,LIBERTY,Cincinnati Christian,78,58
13,2015,John W. Pope Jr. Convocation Center,Away,LIBERTY,campbell,46,53
14,2015,Vines Center,Home,LIBERTY,presbyterian,58,62
15,2015,Kimmel Arena,Away,LIBERTY,north-carolina-asheville,54,71
16,2015,Vines Center,Home,LIBERTY,coastal-carolina,54,69
17,2015,CSU Fieldhouse,Away,LIBERTY,charleston-southern,58,80
18,2015,Willett Hall,Away,LIBERTY,longwood,71,85
19,2015,Vines Center,Home,LIBERTY,winthrop,56,71
20,2015,Donald N. Dedmon Center,Away,LIBERTY,radford,76,84
21,2015,Vines Center,Home,LIBERTY,high-point,53,72
22,2015,Vines Center,Home,LIBERTY,charleston-southern,62,74
23,2015,Winthrop Coliseum,Away,LIBERTY,winthrop,61,74
24,2015,Ross E.Templeton Center,Away,LIBERTY,presbyterian,61,69
25,2015,Vines Center,Home,LIBERTY,campbell,73,60
26,2015,The HTC Center,Away,LIBERTY,coastal-carolina,56,96
27,2015,Vines Center,Home,LIBERTY,longwood,72,78
28,2015,Paul Porter Arena,Away,LIBERTY,gardner-webb,67,77
29,2015,Vines Center,Home,LIBERTY,radford,80,69
30,2015,Vines Center,Home,LIBERTY,north-carolina-asheville,77,95
31,2015,The HTC Center,Neutral,LIBERTY,north-carolina-asheville,70,80
