,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Hawkins Arena,Home,MERCER,Piedmont,88,48
1,2015,Prudential Center,Away,MERCER,seton-hall,47,63
2,2015,Hawkins Arena,Home,MERCER,kennesaw-state,74,66
3,2015,Moby Arena,Away,MERCER,colorado-state,62,75
4,2015,Alaska Airlines Arena,Neutral,MERCER,rice,77,71
5,2015,Alaska Airlines Center,Neutral,MERCER,california-santa-barbara,60,65
6,2015,Alaska Airlines Center,Neutral,MERCER,pacific,48,55
7,2015,Hawkins Arena,Home,MERCER,St. Andrews,62,33
8,2015,Hawkins Arena,Home,MERCER,virginia-military-institute,90,81
9,2015,Hawkins Arena,Home,MERCER,dartmouth,51,67
10,2015,Hawkins Arena,Home,MERCER,bethune-cookman,67,46
11,2015,Thompson-Boling Arena,Away,MERCER,tennessee,54,64
12,2015,Stegeman Coliseum,Away,MERCER,georgia,77,86
13,2015,Reed Arena,Away,MERCER,texas-am,50,65
14,2015,Greensboro Coliseum,Away,MERCER,north-carolina-greensboro,76,55
15,2015,Cameron Hall,Away,MERCER,virginia-military-institute,85,75
16,2015,MSHA Athletic Center,Away,MERCER,east-tennessee-state,70,71
17,2015,Hawkins Arena,Home,MERCER,citadel,74,51
18,2015,Hawkins Arena,Home,MERCER,furman,67,64
19,2015,Hawkins Arena,Home,MERCER,samford,80,56
20,2015,Ramsey Center,Away,MERCER,western-carolina,52,60
21,2015,Hawkins Arena,Home,MERCER,chattanooga,75,72
22,2015,Benjamin Johnson Arena,Away,MERCER,wofford,46,49
23,2015,McAlister Field House,Away,MERCER,citadel,76,53
24,2015,Timmons Arena,Away,MERCER,furman,74,68
25,2015,Hawkins Arena,Home,MERCER,western-carolina,54,58
26,2015,Hawkins Arena,Home,MERCER,north-carolina-greensboro,55,50
27,2015,The McKenzie Arena,Away,MERCER,chattanooga,61,74
28,2015,Pete Hanna Center,Away,MERCER,samford,62,61
29,2015,Hawkins Arena,Home,MERCER,wofford,72,76
30,2015,Hawkins Arena,Home,MERCER,east-tennessee-state,69,64
31,2015,U.S. Cellular Center,Neutral,MERCER,virginia-military-institute,89,61
32,2015,U.S. Cellular Center,Neutral,MERCER,furman,49,52
33,2015,Hawkins Arena,Home,MERCER,stony-brook,72,70
34,2015,Hawkins Arena,Home,MERCER,louisiana-monroe,69,71
