,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Silvio O. Conte Forum,Away,NEW-HAMPSHIRE,boston-college,50,58
1,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,Thomas (ME),84,36
2,2015,Chace Athletic Center,Away,NEW-HAMPSHIRE,bryant,63,72
3,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,boston-university,75,68
4,2015,Leede Arena,Away,NEW-HAMPSHIRE,dartmouth,65,63
5,2015,Steinberg Wellness Center,Away,NEW-HAMPSHIRE,long-island-university,72,56
6,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,Wheelock,96,45
7,2015,Louis Brown Athletic Center,Away,NEW-HAMPSHIRE,rutgers,56,60
8,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,colgate,63,57
9,2015,William H. Pitt Center,Away,NEW-HAMPSHIRE,sacred-heart,60,73
10,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,long-island-university,72,73
11,2015,University Arena,Away,NEW-HAMPSHIRE,western-michigan,56,70
12,2015,Island Federal Credit Union,Away,NEW-HAMPSHIRE,stony-brook,61,71
13,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,albany-ny,62,64
14,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,brown,68,61
15,2015,Retriever Activities Center,Away,NEW-HAMPSHIRE,maryland-baltimore-county,63,60
16,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,hartford,67,68
17,2015,Binghamton University Events Center,Away,NEW-HAMPSHIRE,binghamton,73,66
18,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,massachusetts-lowell,67,64
19,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,vermont,73,68
20,2015,Cross Insurance Center,Away,NEW-HAMPSHIRE,maine,63,58
21,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,stony-brook,63,48
22,2015,SEFCU Arena,Away,NEW-HAMPSHIRE,albany-ny,62,63
23,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,maryland-baltimore-county,80,46
24,2015,Chase Family Arena,Away,NEW-HAMPSHIRE,hartford,76,70
25,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,binghamton,66,48
26,2015,Costello Athletic Center,Away,NEW-HAMPSHIRE,massachusetts-lowell,76,60
27,2015,Roy L. Patrick Gymnasium,Away,NEW-HAMPSHIRE,vermont,49,64
28,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,maine,65,56
29,2015,Lundholm Gymnasium,Home,NEW-HAMPSHIRE,hartford,67,63
30,2015,SEFCU Arena,Away,NEW-HAMPSHIRE,albany-ny,58,60
31,2015,Estelle and Zoom Fleisher Athletic Center,Away,NEW-HAMPSHIRE,njit,77,84
