,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Lloyd Noble Center,Home,OKLAHOMA,southeastern-louisiana,78,53
1,2015,CenturyLink Center,Away,OKLAHOMA,creighton,63,65
2,2015,Lloyd Noble Center,Home,OKLAHOMA,northwestern-state,90,68
3,2015,Imperial Arena at Atlantis Resort,Neutral,OKLAHOMA,ucla,75,65
4,2015,Imperial Arena at Atlantis Resort,Neutral,OKLAHOMA,butler,59,46
5,2015,Imperial Arena at Atlantis Resort,Neutral,OKLAHOMA,wisconsin,56,69
6,2015,Lloyd Noble Center,Home,OKLAHOMA,missouri,82,63
7,2015,Donald W. Reynolds Center,Away,OKLAHOMA,tulsa,87,68
8,2015,Lloyd Noble Center,Home,OKLAHOMA,oral-roberts,85,53
9,2015,MGM Grand Garden Arena,Neutral,OKLAHOMA,washington,67,69
10,2015,Lloyd Noble Center,Home,OKLAHOMA,weber-state,85,51
11,2015,Lloyd Noble Center,Home,OKLAHOMA,george-mason,61,43
12,2015,Lloyd Noble Center,Home,OKLAHOMA,baylor,73,63
13,2015,Frank Erwin Center,Away,OKLAHOMA,texas,70,49
14,2015,Lloyd Noble Center,Home,OKLAHOMA,kansas-state,63,66
15,2015,WVU Coliseum,Away,OKLAHOMA,west-virginia,65,86
16,2015,Lloyd Noble Center,Home,OKLAHOMA,oklahoma-state,82,65
17,2015,Allen Fieldhouse,Away,OKLAHOMA,kansas,78,85
18,2015,Ferrell Center,Away,OKLAHOMA,baylor,58,69
19,2015,Lloyd Noble Center,Home,OKLAHOMA,texas-tech,81,36
20,2015,Gallagher-Iba Arena,Away,OKLAHOMA,oklahoma-state,64,56
21,2015,Lloyd Noble Center,Home,OKLAHOMA,west-virginia,71,52
22,2015,Ed & Rae Schollmaier Arena,Away,OKLAHOMA,texas-christian,68,56
23,2015,Lloyd Noble Center,Home,OKLAHOMA,iowa-state,94,83
24,2015,Bramlage Coliseum,Away,OKLAHOMA,kansas-state,56,59
25,2015,Lloyd Noble Center,Home,OKLAHOMA,texas,71,69
26,2015,United Supermarkets Arena,Away,OKLAHOMA,texas-tech,79,75
27,2015,Lloyd Noble Center,Home,OKLAHOMA,texas-christian,67,60
28,2015,James H. Hilton Coliseum,Away,OKLAHOMA,iowa-state,70,77
29,2015,Lloyd Noble Center,Home,OKLAHOMA,kansas,75,73
30,2015,Sprint Center,Neutral,OKLAHOMA,oklahoma-state,64,49
31,2015,Sprint Center,Neutral,OKLAHOMA,iowa-state,65,67
32,2015,Nationwide Arena,Neutral,OKLAHOMA,albany-ny,69,60
33,2015,Nationwide Arena,Neutral,OKLAHOMA,dayton,72,66
34,2015,Carrier Dome,Neutral,OKLAHOMA,michigan-state,58,62
