,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Galen Center,Away,PORTLAND-STATE,southern-california,76,68
1,2015,Peter W. Stott Center,Home,PORTLAND-STATE,Willamette,84,63
2,2015,Peter W. Stott Center,Home,PORTLAND-STATE,southern-illinois-edwardsville,90,87
3,2015,The Matadome,Away,PORTLAND-STATE,cal-state-northridge,63,55
4,2015,Matthew Knight Arena,Away,PORTLAND-STATE,oregon,59,81
5,2015,Chiles Center,Away,PORTLAND-STATE,portland,71,83
6,2015,UC Riverside Student Recreation Center,Away,PORTLAND-STATE,california-riverside,62,88
7,2015,Peter W. Stott Center,Home,PORTLAND-STATE,cal-state-bakersfield,65,59
8,2015,War Memorial Gymnasium,Away,PORTLAND-STATE,san-francisco,40,77
9,2015,Peter W. Stott Center,Home,PORTLAND-STATE,Walla Walla,94,52
10,2015,Peter W. Stott Center,Home,PORTLAND-STATE,southern-utah,71,68
11,2015,Peter W. Stott Center,Home,PORTLAND-STATE,northern-arizona,60,73
12,2015,Bank of Colorado Arena,Away,PORTLAND-STATE,northern-colorado,85,90
13,2015,Betty Engelstad Sioux Center,Away,PORTLAND-STATE,north-dakota,82,75
14,2015,Peter W. Stott Center,Home,PORTLAND-STATE,eastern-washington,85,92
15,2015,Peter W. Stott Center,Home,PORTLAND-STATE,idaho,85,73
16,2015,Dee Events Center,Away,PORTLAND-STATE,weber-state,69,63
17,2015,Holt Arena,Away,PORTLAND-STATE,idaho-state,76,80
18,2015,Peter W. Stott Center,Home,PORTLAND-STATE,montana,54,73
19,2015,Peter W. Stott Center,Home,PORTLAND-STATE,montana-state,80,62
20,2015,The Nest,Away,PORTLAND-STATE,sacramento-state,60,64
21,2015,Cowan Spectrum,Away,PORTLAND-STATE,idaho,76,87
22,2015,Reese Court,Away,PORTLAND-STATE,eastern-washington,68,66
23,2015,Peter W. Stott Center,Home,PORTLAND-STATE,north-dakota,80,70
24,2015,Peter W. Stott Center,Home,PORTLAND-STATE,northern-colorado,91,75
25,2015,Peter W. Stott Center,Home,PORTLAND-STATE,sacramento-state,60,73
26,2015,Walkup Skydome,Away,PORTLAND-STATE,northern-arizona,51,58
27,2015,Centrum,Away,PORTLAND-STATE,southern-utah,86,73
28,2015,Adams Center/Dahlberg Arena,Neutral,PORTLAND-STATE,sacramento-state,60,70
