,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Carnesecca Arena,Home,ST-JOHNS-NY,njit,77,58
1,2015,Carnesecca Arena,Home,ST-JOHNS-NY,Franklin Pierce,94,81
2,2015,Carnesecca Arena,Home,ST-JOHNS-NY,long-island-university,66,53
3,2015,Madison Square Garden (IV),Away,ST-JOHNS-NY,minnesota,70,61
4,2015,Madison Square Garden (IV),Neutral,ST-JOHNS-NY,gonzaga,66,73
5,2015,Carnesecca Arena,Home,ST-JOHNS-NY,niagara,70,57
6,2015,Carrier Dome,Away,ST-JOHNS-NY,syracuse,69,57
7,2015,Carnesecca Arena,Home,ST-JOHNS-NY,fairleigh-dickinson,74,52
8,2015,Madison Square Garden (IV),Home,ST-JOHNS-NY,fordham,74,53
9,2015,Carnesecca Arena,Home,ST-JOHNS-NY,saint-marys-ca,53,47
10,2015,Carnesecca Arena,Home,ST-JOHNS-NY,long-beach-state,66,49
11,2015,Barclays Center,Neutral,ST-JOHNS-NY,tulane,82,57
12,2015,Prudential Center,Away,ST-JOHNS-NY,seton-hall,67,78
13,2015,Carnesecca Arena,Home,ST-JOHNS-NY,butler,69,73
14,2015,Madison Square Garden (IV),Home,ST-JOHNS-NY,villanova,72,90
15,2015,Dunkin' Donuts Center,Away,ST-JOHNS-NY,providence,83,70
16,2015,Allstate Arena,Away,ST-JOHNS-NY,depaul,67,71
17,2015,Madison Square Garden (IV),Home,ST-JOHNS-NY,marquette,60,57
18,2015,Madison Square Garden (IV),Home,ST-JOHNS-NY,duke,68,77
19,2015,CenturyLink Center,Away,ST-JOHNS-NY,creighton,74,77
20,2015,Madison Square Garden (IV),Home,ST-JOHNS-NY,providence,75,66
21,2015,Hinkle Fieldhouse,Away,ST-JOHNS-NY,butler,62,85
22,2015,Madison Square Garden (IV),Home,ST-JOHNS-NY,creighton,84,66
23,2015,Carnesecca Arena,Home,ST-JOHNS-NY,depaul,86,78
24,2015,Cintas Center,Away,ST-JOHNS-NY,xavier,78,70
25,2015,Verizon Center,Away,ST-JOHNS-NY,georgetown,57,79
26,2015,Carnesecca Arena,Home,ST-JOHNS-NY,seton-hall,85,72
27,2015,Madison Square Garden (IV),Home,ST-JOHNS-NY,xavier,58,57
28,2015,Madison Square Garden (IV),Home,ST-JOHNS-NY,georgetown,81,70
29,2015,BMO Harris Bradley Center,Away,ST-JOHNS-NY,marquette,67,51
30,2015,Wells Fargo Center,Away,ST-JOHNS-NY,villanova,68,105
31,2015,Madison Square Garden (IV),Neutral,ST-JOHNS-NY,providence,57,74
32,2015,Spectrum Center,Neutral,ST-JOHNS-NY,san-diego-state,64,76
