,year,arena,location,team,opponent,team_points,opponent_points
0,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,Mississippi College,75,49
1,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,northern-iowa,77,79
2,2015,Cintas Center,Away,STEPHEN-F-AUSTIN,xavier,63,81
3,2015,Ferrell Center,Away,STEPHEN-F-AUSTIN,baylor,51,67
4,2015,Orleans Arena,Neutral,STEPHEN-F-AUSTIN,prairie-view,73,61
5,2015,Orleans Arena,Neutral,STEPHEN-F-AUSTIN,austin-peay,83,62
6,2015,FedExForum,Away,STEPHEN-F-AUSTIN,memphis,64,52
7,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,long-beach-state,74,45
8,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,Ouachita,84,60
9,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,north-texas,59,48
10,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,texas-state,66,60
11,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,Arkansas Tech,94,57
12,2015,The Matadome,Away,STEPHEN-F-AUSTIN,cal-state-northridge,61,57
13,2015,Burton Coliseum,Away,STEPHEN-F-AUSTIN,mcneese-state,80,75
14,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,southeastern-louisiana,81,66
15,2015,Jeff Farris Center,Away,STEPHEN-F-AUSTIN,central-arkansas,109,58
16,2015,Moody Coliseum,Away,STEPHEN-F-AUSTIN,abilene-christian,82,64
17,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,new-orleans,79,54
18,2015,Johnson Coliseum,Away,STEPHEN-F-AUSTIN,sam-houston-state,79,68
19,2015,Montagne Center,Away,STEPHEN-F-AUSTIN,lamar,82,65
20,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,texas-am-corpus-christi,61,51
21,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,houston-baptist,95,59
22,2015,Prather Coliseum,Away,STEPHEN-F-AUSTIN,northwestern-state,93,82
23,2015,American Bank Center,Away,STEPHEN-F-AUSTIN,texas-am-corpus-christi,63,71
24,2015,McDermott Center,Away,STEPHEN-F-AUSTIN,incarnate-word,90,76
25,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,nicholls-state,86,71
26,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,lamar,103,74
27,2015,Frank and Lucille Sharp Gymnasium,Away,STEPHEN-F-AUSTIN,houston-baptist,102,87
28,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,incarnate-word,83,62
29,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,northwestern-state,92,66
30,2015,William Johnson Coliseum,Home,STEPHEN-F-AUSTIN,sam-houston-state,64,55
31,2015,Leonard E. Merrell Center,Neutral,STEPHEN-F-AUSTIN,northwestern-state,91,79
32,2015,Leonard E. Merrell Center,Neutral,STEPHEN-F-AUSTIN,sam-houston-state,83,70
33,2015,Moda Center,Neutral,STEPHEN-F-AUSTIN,utah,50,57
