,year,arena,location,team,opponent,team_points,opponent_points
0,2015,Carver Arena,Away,TEXAS-ARLINGTON,bradley,86,75
1,2015,College Park Center,Home,TEXAS-ARLINGTON,buffalo,68,74
2,2015,Grand Canyon University Arena,Away,TEXAS-ARLINGTON,grand-canyon,66,64
3,2015,College Park Center,Home,TEXAS-ARLINGTON,houston-baptist,87,69
4,2015,Rupp Arena,Away,TEXAS-ARLINGTON,kentucky,44,92
5,2015,Max Worthington Arena,Away,TEXAS-ARLINGTON,montana-state,81,104
6,2015,Frank Erwin Center,Away,TEXAS-ARLINGTON,texas,53,63
7,2015,College Park Center,Home,TEXAS-ARLINGTON,weber-state,63,56
8,2015,Bren Events Center,Away,TEXAS-ARLINGTON,california-irvine,70,62
9,2015,College Park Center,Home,TEXAS-ARLINGTON,Howard Payne,89,50
10,2015,College Park Center,Home,TEXAS-ARLINGTON,georgia-southern,62,61
11,2015,College Park Center,Home,TEXAS-ARLINGTON,south-alabama,99,87
12,2015,Trojan Arena,Away,TEXAS-ARLINGTON,troy,66,71
13,2015,College Park Center,Home,TEXAS-ARLINGTON,louisiana-monroe,73,76
14,2015,College Park Center,Home,TEXAS-ARLINGTON,arkansas-state,77,50
15,2015,GSU Sports Arena,Away,TEXAS-ARLINGTON,georgia-state,62,83
16,2015,College Park Center,Home,TEXAS-ARLINGTON,texas-state,66,55
17,2015,Fant-Ewing Coliseum,Away,TEXAS-ARLINGTON,louisiana-monroe,61,57
18,2015,Jack Stephens Center,Away,TEXAS-ARLINGTON,arkansas-little-rock,75,68
19,2015,College Park Center,Home,TEXAS-ARLINGTON,georgia-state,74,88
20,2015,College Park Center,Home,TEXAS-ARLINGTON,troy,54,55
21,2015,Cajundome,Away,TEXAS-ARLINGTON,louisiana-lafayette,84,69
22,2015,Strahan Coliseum,Away,TEXAS-ARLINGTON,texas-state,70,61
23,2015,Mitchell Center,Away,TEXAS-ARLINGTON,south-alabama,91,97
24,2015,College Park Center,Home,TEXAS-ARLINGTON,appalachian-state,81,68
25,2015,College Park Center,Home,TEXAS-ARLINGTON,louisiana-lafayette,70,81
26,2015,Convocation Center,Away,TEXAS-ARLINGTON,arkansas-state,80,81
27,2015,College Park Center,Home,TEXAS-ARLINGTON,arkansas-little-rock,82,73
28,2015,Hanner Fieldhouse,Away,TEXAS-ARLINGTON,georgia-southern,64,76
29,2015,Holmes Convocation Center,Away,TEXAS-ARLINGTON,appalachian-state,60,72
30,2015,Kiefer Lakefront Arena,Neutral,TEXAS-ARLINGTON,texas-state,62,68
