,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Stan Sheriff Center,Neutral,COASTAL-CAROLINA,nevada,56,73
1,2016,Stan Sheriff Center,Neutral,COASTAL-CAROLINA,hawaii,63,74
2,2016,The HTC Center,Home,COASTAL-CAROLINA,Grace Bible,104,67
3,2016,The HTC Center,Home,COASTAL-CAROLINA,Piedmont,116,35
4,2016,TD Arena,Away,COASTAL-CAROLINA,college-of-charleston,67,61
5,2016,John W. Pope Jr. Convocation Center,Away,COASTAL-CAROLINA,campbell,73,79
6,2016,The HTC Center,Home,COASTAL-CAROLINA,auburn,78,81
7,2016,The HTC Center,Home,COASTAL-CAROLINA,radford,63,58
8,2016,The HTC Center,Home,COASTAL-CAROLINA,North Carolina Wesleyan,98,73
9,2016,Benjamin Johnson Arena,Away,COASTAL-CAROLINA,wofford,71,63
10,2016,Lawrence Joel Coliseum,Away,COASTAL-CAROLINA,wake-forest,77,83
11,2016,The HTC Center,Home,COASTAL-CAROLINA,alabama-state,68,65
12,2016,Paul Porter Arena,Away,COASTAL-CAROLINA,gardner-webb,61,65
13,2016,The HTC Center,Home,COASTAL-CAROLINA,winthrop,82,63
14,2016,The HTC Center,Home,COASTAL-CAROLINA,liberty,61,62
15,2016,Willett Hall,Away,COASTAL-CAROLINA,longwood,61,76
16,2016,The HTC Center,Home,COASTAL-CAROLINA,presbyterian,87,58
17,2016,Millis Center,Away,COASTAL-CAROLINA,high-point,71,68
18,2016,CSU Fieldhouse,Away,COASTAL-CAROLINA,charleston-southern,78,63
19,2016,The HTC Center,Home,COASTAL-CAROLINA,north-carolina-asheville,68,66
20,2016,The HTC Center,Home,COASTAL-CAROLINA,campbell,97,68
21,2016,Ross E.Templeton Center,Away,COASTAL-CAROLINA,presbyterian,69,66
22,2016,Donald N. Dedmon Center,Away,COASTAL-CAROLINA,radford,72,60
23,2016,The HTC Center,Home,COASTAL-CAROLINA,high-point,67,68
24,2016,The HTC Center,Home,COASTAL-CAROLINA,gardner-webb,78,71
25,2016,Winthrop Coliseum,Away,COASTAL-CAROLINA,winthrop,67,79
26,2016,The HTC Center,Home,COASTAL-CAROLINA,charleston-southern,68,60
27,2016,Kimmel Arena,Away,COASTAL-CAROLINA,north-carolina-asheville,81,79
28,2016,John W. Pope Jr. Convocation Center,Neutral,COASTAL-CAROLINA,gardner-webb,65,69
29,2016,The HTC Center,Home,COASTAL-CAROLINA,mercer,65,57
30,2016,The HTC Center,Home,COASTAL-CAROLINA,new-hampshire,71,62
31,2016,The HTC Center,Home,COASTAL-CAROLINA,grand-canyon,60,58
32,2016,The HTC Center,Home,COASTAL-CAROLINA,california-irvine,47,66
