,year,arena,location,team,opponent,team_points,opponent_points
0,2016,McBrayer Arena,Away,COPPIN-STATE,eastern-kentucky,80,107
1,2016,Carver-Hawkeye Arena,Away,COPPIN-STATE,iowa,68,103
2,2016,Physical Education Complex,Home,COPPIN-STATE,Goldey-Beacom,80,73
3,2016,Physical Education Complex,Home,COPPIN-STATE,Chestnut Hill,92,75
4,2016,Physical Education Complex,Home,COPPIN-STATE,towson,77,81
5,2016,James A. Rhodes Arena,Away,COPPIN-STATE,akron,71,77
6,2016,Physical Education Complex,Home,COPPIN-STATE,hampton,71,74
7,2016,Physical Education Complex,Home,COPPIN-STATE,norfolk-state,56,88
8,2016,Bramlage Coliseum,Away,COPPIN-STATE,kansas-state,58,83
9,2016,Rose Hill Gym,Away,COPPIN-STATE,fordham,55,92
10,2016,War Memorial Gymnasium,Away,COPPIN-STATE,san-francisco,93,96
11,2016,Haas Pavilion,Away,COPPIN-STATE,california,51,84
12,2016,Physical Education Complex,Home,COPPIN-STATE,eastern-michigan,62,73
13,2016,CenturyLink Center,Away,COPPIN-STATE,creighton,77,102
14,2016,James H. Hilton Coliseum,Away,COPPIN-STATE,iowa-state,84,104
15,2016,Burr Gymnasium,Away,COPPIN-STATE,howard,63,72
16,2016,Moore Gymnasium,Away,COPPIN-STATE,bethune-cookman,62,54
17,2016,Al Lawson Center,Away,COPPIN-STATE,florida-am,70,66
18,2016,Physical Education Complex,Home,COPPIN-STATE,north-carolina-at,73,68
19,2016,Physical Education Complex,Home,COPPIN-STATE,maryland-eastern-shore,81,83
20,2016,Hill Field House,Away,COPPIN-STATE,morgan-state,43,83
21,2016,SHM Memorial Center,Away,COPPIN-STATE,south-carolina-state,83,88
22,2016,Tiger Arena,Away,COPPIN-STATE,savannah-state,63,72
23,2016,Physical Education Complex,Home,COPPIN-STATE,howard,90,66
24,2016,Physical Education Complex,Home,COPPIN-STATE,delaware-state,67,71
25,2016,Physical Education Complex,Home,COPPIN-STATE,north-carolina-central,71,60
26,2016,Echols Memorial Hall,Away,COPPIN-STATE,norfolk-state,77,85
27,2016,Physical Education Complex,Home,COPPIN-STATE,morgan-state,72,74
28,2016,Memorial Hall,Away,COPPIN-STATE,delaware-state,72,62
29,2016,,Neutral,COPPIN-STATE,north-carolina-at,98,91
30,2016,,Neutral,COPPIN-STATE,south-carolina-state,80,90
