,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Leavey Center,Neutral,DENVER,milwaukee,58,71
1,2016,Leavey Center,Away,DENVER,santa-clara,55,33
2,2016,Leavey Center,Neutral,DENVER,lipscomb,82,69
3,2016,Magness Arena,Home,DENVER,utah-valley,75,62
4,2016,Magness Arena,Home,DENVER,idaho-state,79,69
5,2016,Magness Arena,Home,DENVER,south-alabama,69,56
6,2016,Magness Arena,Home,DENVER,wyoming,52,68
7,2016,Magness Arena,Home,DENVER,air-force,59,61
8,2016,Jenny Craig Pavillion,Away,DENVER,san-diego,59,47
9,2016,Magness Arena,Home,DENVER,weber-state,69,68
10,2016,Bank of Colorado Arena,Away,DENVER,northern-colorado,81,77
11,2016,Magness Arena,Home,DENVER,eastern-washington,58,74
12,2016,UC Riverside Student Recreation Center,Away,DENVER,california-riverside,54,63
13,2016,Frost Arena,Away,DENVER,south-dakota-state,59,68
14,2016,Bison Sports Arena,Away,DENVER,north-dakota-state,49,75
15,2016,Magness Arena,Home,DENVER,oral-roberts,78,75
16,2016,Magness Arena,Home,DENVER,ipfw,64,65
17,2016,Western Hall,Away,DENVER,western-illinois,76,69
18,2016,Indiana Farmers Coliseum,Away,DENVER,iupui,61,76
19,2016,Magness Arena,Home,DENVER,nebraska-omaha,55,69
20,2016,Magness Arena,Home,DENVER,south-dakota,66,52
21,2016,Magness Arena,Home,DENVER,south-dakota-state,56,67
22,2016,Magness Arena,Home,DENVER,iupui,53,51
23,2016,Baxter Arena,Away,DENVER,nebraska-omaha,75,72
24,2016,Magness Arena,Home,DENVER,western-illinois,60,63
25,2016,Hilliard Gates Sports Center,Away,DENVER,ipfw,84,88
26,2016,Mabee Center,Away,DENVER,oral-roberts,58,62
27,2016,DakotaDome,Away,DENVER,south-dakota,76,71
28,2016,Magness Arena,Home,DENVER,north-dakota-state,70,59
29,2016,,Neutral,DENVER,nebraska-omaha,78,70
30,2016,Sanford Pentagon,Neutral,DENVER,south-dakota-state,53,54
