,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Humphrey Coliseum,Away,EASTERN-WASHINGTON,mississippi-state,88,106
1,2016,Reese Court,Home,EASTERN-WASHINGTON,George Fox,126,64
2,2016,Reese Court,Home,EASTERN-WASHINGTON,seattle,76,70
3,2016,KeyArena,Away,EASTERN-WASHINGTON,seattle,52,58
4,2016,The Nest,Neutral,EASTERN-WASHINGTON,pacific,70,63
5,2016,The Nest,Neutral,EASTERN-WASHINGTON,south-dakota,71,77
6,2016,War Memorial Gymnasium,Away,EASTERN-WASHINGTON,san-francisco,81,77
7,2016,Reese Court,Home,EASTERN-WASHINGTON,Great Falls,104,64
8,2016,Belk Arena,Away,EASTERN-WASHINGTON,davidson,86,96
9,2016,Petersen Events Center,Away,EASTERN-WASHINGTON,pittsburgh,51,84
10,2016,Ramsey Center,Away,EASTERN-WASHINGTON,western-carolina,80,97
11,2016,Magness Arena,Away,EASTERN-WASHINGTON,denver,74,58
12,2016,Bank of Colorado Arena,Away,EASTERN-WASHINGTON,northern-colorado,90,96
13,2016,Betty Engelstad Sioux Center,Away,EASTERN-WASHINGTON,north-dakota,71,79
14,2016,Reese Court,Home,EASTERN-WASHINGTON,idaho,74,60
15,2016,Reese Court,Home,EASTERN-WASHINGTON,southern-utah,106,80
16,2016,Reese Court,Home,EASTERN-WASHINGTON,northern-arizona,96,73
17,2016,Max Worthington Arena,Away,EASTERN-WASHINGTON,montana-state,71,85
18,2016,Adams Center/Dahlberg Arena,Away,EASTERN-WASHINGTON,montana,69,74
19,2016,Reese Court,Home,EASTERN-WASHINGTON,portland-state,112,83
20,2016,Reese Court,Home,EASTERN-WASHINGTON,sacramento-state,74,67
21,2016,Walkup Skydome,Away,EASTERN-WASHINGTON,northern-arizona,84,73
22,2016,Centrum,Away,EASTERN-WASHINGTON,southern-utah,81,67
23,2016,Reese Court,Home,EASTERN-WASHINGTON,north-dakota,95,85
24,2016,Reese Court,Home,EASTERN-WASHINGTON,northern-colorado,97,80
25,2016,The Nest,Away,EASTERN-WASHINGTON,sacramento-state,93,88
26,2016,Peter W. Stott Center,Away,EASTERN-WASHINGTON,portland-state,91,107
27,2016,Cowan Spectrum,Away,EASTERN-WASHINGTON,idaho,62,66
28,2016,Reese Court,Home,EASTERN-WASHINGTON,idaho-state,71,75
29,2016,Reese Court,Home,EASTERN-WASHINGTON,weber-state,77,79
30,2016,,Neutral,EASTERN-WASHINGTON,northern-arizona,74,52
31,2016,,Neutral,EASTERN-WASHINGTON,idaho,73,77
32,2016,Reese Court,Home,EASTERN-WASHINGTON,pepperdine,79,72
33,2016,Lawlor Events Center,Away,EASTERN-WASHINGTON,nevada,70,85
