,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Alumni Hall,Away,FLORIDA,navy,59,41
1,2016,Stephen C. O'Connell Center,Home,FLORIDA,north-carolina-at,104,54
2,2016,Mohegan Sun Arena,Neutral,FLORIDA,saint-josephs,74,63
3,2016,Mohegan Sun Arena,Neutral,FLORIDA,purdue,70,85
4,2016,Stephen C. O'Connell Center,Home,FLORIDA,vermont,86,62
5,2016,Stephen C. O'Connell Center,Home,FLORIDA,florida-gulf-coast,70,50
6,2016,Stephen C. O'Connell Center,Home,FLORIDA,richmond,76,56
7,2016,BankUnited Center,Away,FLORIDA,miami-fl,55,66
8,2016,Breslin Events Center,Away,FLORIDA,michigan-state,52,58
9,2016,BB&T Center,Neutral,FLORIDA,oklahoma-state,72,70
10,2016,Stephen C. O'Connell Center,Home,FLORIDA,jacksonville,89,65
11,2016,Stephen C. O'Connell Center,Home,FLORIDA,florida-state,71,73
12,2016,Stephen C. O'Connell Center,Home,FLORIDA,georgia,77,63
13,2016,Thompson-Boling Arena,Away,FLORIDA,tennessee,69,83
14,2016,Stephen C. O'Connell Center,Home,FLORIDA,louisiana-state,68,62
15,2016,Reed Arena,Away,FLORIDA,texas-am,68,71
16,2016,The Pavilion at Ole Miss,Away,FLORIDA,mississippi,80,71
17,2016,Stephen C. O'Connell Center,Home,FLORIDA,mississippi-state,81,78
18,2016,Stephen C. O'Connell Center,Home,FLORIDA,auburn,95,63
19,2016,Memorial Gymnasium,Away,FLORIDA,vanderbilt,59,60
20,2016,Stephen C. O'Connell Center,Home,FLORIDA,west-virginia,88,71
21,2016,Stephen C. O'Connell Center,Home,FLORIDA,arkansas,87,83
22,2016,Rupp Arena,Away,FLORIDA,kentucky,61,80
23,2016,Stephen C. O'Connell Center,Home,FLORIDA,mississippi,77,72
24,2016,Stephen C. O'Connell Center,Home,FLORIDA,alabama,55,61
25,2016,Stegeman Coliseum,Away,FLORIDA,georgia,57,53
26,2016,The Colonial Life Arena,Away,FLORIDA,south-carolina,69,73
27,2016,Stephen C. O'Connell Center,Home,FLORIDA,vanderbilt,74,87
28,2016,Maravich Assembly Center,Away,FLORIDA,louisiana-state,91,96
29,2016,Stephen C. O'Connell Center,Home,FLORIDA,kentucky,79,88
30,2016,Mizzou Arena,Away,FLORIDA,missouri,82,72
31,2016,,Neutral,FLORIDA,arkansas,68,61
32,2016,,Neutral,FLORIDA,texas-am,66,72
33,2016,UNF Arena,Away,FLORIDA,north-florida,97,68
34,2016,Value City Arena,Away,FLORIDA,ohio-state,74,66
35,2016,Charles E. Smith Center,Away,FLORIDA,george-washington,77,82
