,year,arena,location,team,opponent,team_points,opponent_points
0,2016,EagleBank Arena,Home,GEORGE-MASON,colgate,53,66
1,2016,Hawkins Arena,Away,GEORGE-MASON,mercer,60,69
2,2016,TD Arena,Neutral,GEORGE-MASON,mississippi,68,62
3,2016,TD Arena,Neutral,GEORGE-MASON,oklahoma-state,71,68
4,2016,TD Arena,Neutral,GEORGE-MASON,virginia,66,83
5,2016,Draddy Gymnasium,Away,GEORGE-MASON,manhattan,67,69
6,2016,EagleBank Arena,Home,GEORGE-MASON,wright-state,66,39
7,2016,SECU Arena,Away,GEORGE-MASON,towson,54,75
8,2016,EagleBank Arena,Home,GEORGE-MASON,pennsylvania,63,44
9,2016,EagleBank Arena,Home,GEORGE-MASON,northern-iowa,65,73
10,2016,JMU Convocation Center,Away,GEORGE-MASON,james-madison,46,69
11,2016,EagleBank Arena,Home,GEORGE-MASON,longwood,75,70
12,2016,EagleBank Arena,Home,GEORGE-MASON,wagner,71,60
13,2016,Stuart Siegel Center,Away,GEORGE-MASON,virginia-commonwealth,47,71
14,2016,EagleBank Arena,Home,GEORGE-MASON,st-bonaventure,58,77
15,2016,Belk Arena,Away,GEORGE-MASON,davidson,75,81
16,2016,EagleBank Arena,Home,GEORGE-MASON,saint-josephs,73,87
17,2016,Chaifetz Arena,Away,GEORGE-MASON,saint-louis,92,79
18,2016,Rose Hill Gym,Away,GEORGE-MASON,fordham,62,73
19,2016,EagleBank Arena,Home,GEORGE-MASON,duquesne,75,86
20,2016,EagleBank Arena,Home,GEORGE-MASON,george-washington,70,76
21,2016,Robins Center,Away,GEORGE-MASON,richmond,78,74
22,2016,EagleBank Arena,Home,GEORGE-MASON,dayton,64,98
23,2016,Thomas M. Ryan Center,Away,GEORGE-MASON,rhode-island,63,81
24,2016,EagleBank Arena,Home,GEORGE-MASON,davidson,60,59
25,2016,EagleBank Arena,Home,GEORGE-MASON,saint-louis,77,79
26,2016,Mullins Center,Away,GEORGE-MASON,massachusetts,64,70
27,2016,EagleBank Arena,Home,GEORGE-MASON,virginia-commonwealth,76,69
28,2016,Tom Gola Arena,Away,GEORGE-MASON,la-salle,68,76
29,2016,Charles E. Smith Center,Away,GEORGE-MASON,george-washington,52,74
30,2016,EagleBank Arena,Home,GEORGE-MASON,richmond,83,73
31,2016,Barclays Center,Neutral,GEORGE-MASON,saint-louis,78,83
