,year,arena,location,team,opponent,team_points,opponent_points
0,2016,GSU Sports Arena,Home,GEORGIA-STATE,Middle Georgia State,73,54
1,2016,GSU Sports Arena,Home,GEORGIA-STATE,Emmanuel,77,58
2,2016,C.M. Tad Smith Coliseum,Away,GEORGIA-STATE,mississippi,59,68
3,2016,GSU Sports Arena,Home,GEORGIA-STATE,iupui,78,72
4,2016,Bartow Arena,Away,GEORGIA-STATE,alabama-birmingham,57,64
5,2016,Ervin J. Nutter Center,Away,GEORGIA-STATE,wright-state,59,46
6,2016,GSU Sports Arena,Home,GEORGIA-STATE,old-dominion,68,64
7,2016,Reed Green Coliseum,Away,GEORGIA-STATE,southern-mississippi,66,46
8,2016,GSU Sports Arena,Home,GEORGIA-STATE,middle-tennessee,64,62
9,2016,College Park Center,Away,GEORGIA-STATE,texas-arlington,70,85
10,2016,Strahan Coliseum,Away,GEORGIA-STATE,texas-state,58,46
11,2016,GSU Sports Arena,Home,GEORGIA-STATE,troy,72,68
12,2016,GSU Sports Arena,Home,GEORGIA-STATE,south-alabama,70,55
13,2016,GSU Sports Arena,Home,GEORGIA-STATE,louisiana-monroe,65,51
14,2016,GSU Sports Arena,Home,GEORGIA-STATE,louisiana-lafayette,54,87
15,2016,GSU Sports Arena,Home,GEORGIA-STATE,georgia-southern,69,66
16,2016,Holmes Convocation Center,Away,GEORGIA-STATE,appalachian-state,67,76
17,2016,Convocation Center,Away,GEORGIA-STATE,arkansas-state,69,75
18,2016,Jack Stephens Center,Away,GEORGIA-STATE,arkansas-little-rock,53,63
19,2016,GSU Sports Arena,Home,GEORGIA-STATE,texas-state,59,56
20,2016,GSU Sports Arena,Home,GEORGIA-STATE,texas-arlington,69,90
21,2016,Mitchell Center,Away,GEORGIA-STATE,south-alabama,78,79
22,2016,Trojan Arena,Away,GEORGIA-STATE,troy,53,54
23,2016,GSU Sports Arena,Home,GEORGIA-STATE,arkansas-little-rock,49,57
24,2016,GSU Sports Arena,Home,GEORGIA-STATE,arkansas-state,69,61
25,2016,Hanner Fieldhouse,Away,GEORGIA-STATE,georgia-southern,52,54
26,2016,GSU Sports Arena,Home,GEORGIA-STATE,appalachian-state,83,70
27,2016,Cajundome,Away,GEORGIA-STATE,louisiana-lafayette,72,69
28,2016,Fant-Ewing Coliseum,Away,GEORGIA-STATE,louisiana-monroe,78,91
29,2016,Kiefer Lakefront Arena,Neutral,GEORGIA-STATE,texas-state,61,63
