,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Prairie Capital Convention Center,Home,ILLINOIS,north-florida,81,93
1,2016,Prairie Capital Convention Center,Home,ILLINOIS,north-dakota-state,80,74
2,2016,Dunkin' Donuts Center,Away,ILLINOIS,providence,59,60
3,2016,Prairie Capital Convention Center,Neutral,ILLINOIS,chattanooga,77,81
4,2016,Prairie Capital Convention Center,Neutral,ILLINOIS,chicago-state,82,79
5,2016,The Arena,Neutral,ILLINOIS,alabama-birmingham,72,58
6,2016,The Arena,Neutral,ILLINOIS,iowa-state,73,84
7,2016,State Farm Center,Home,ILLINOIS,notre-dame,79,84
8,2016,State Farm Center,Home,ILLINOIS,western-carolina,80,68
9,2016,State Farm Center,Home,ILLINOIS,yale,69,65
10,2016,United Center,Neutral,ILLINOIS,illinois-chicago,83,79
11,2016,State Farm Center,Home,ILLINOIS,south-dakota,91,79
12,2016,Scottrade Center,Neutral,ILLINOIS,missouri,68,63
13,2016,State Farm Center,Home,ILLINOIS,michigan,68,78
14,2016,Value City Arena,Away,ILLINOIS,ohio-state,73,75
15,2016,Breslin Events Center,Away,ILLINOIS,michigan-state,54,79
16,2016,State Farm Center,Home,ILLINOIS,purdue,84,70
17,2016,State Farm Center,Home,ILLINOIS,nebraska,67,78
18,2016,Assembly Hall,Away,ILLINOIS,indiana,69,103
19,2016,Williams Arena,Away,ILLINOIS,minnesota,76,71
20,2016,State Farm Center,Home,ILLINOIS,ohio-state,63,68
21,2016,State Farm Center,Home,ILLINOIS,wisconsin,55,63
22,2016,Louis Brown Athletic Center,Away,ILLINOIS,rutgers,110,101
23,2016,State Farm Center,Home,ILLINOIS,iowa,65,77
24,2016,Welsh-Ryan Arena,Away,ILLINOIS,northwestern,56,58
25,2016,State Farm Center,Home,ILLINOIS,rutgers,82,66
26,2016,Kohl Center,Away,ILLINOIS,wisconsin,60,69
27,2016,State Farm Center,Home,ILLINOIS,indiana,47,74
28,2016,State Farm Center,Home,ILLINOIS,minnesota,84,71
29,2016,Xfinity Center,Away,ILLINOIS,maryland,55,81
30,2016,Bryce Jordan Center,Away,ILLINOIS,penn-state,79,86
31,2016,Bankers Life Fieldhouse,Neutral,ILLINOIS,minnesota,85,52
32,2016,Bankers Life Fieldhouse,Neutral,ILLINOIS,iowa,68,66
33,2016,Bankers Life Fieldhouse,Neutral,ILLINOIS,purdue,58,89
