,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Allen Fieldhouse,Home,KANSAS,northern-colorado,109,72
1,2016,United Center,Neutral,KANSAS,michigan-state,73,79
2,2016,Lahaina Civic Center,Neutral,KANSAS,Chaminade,123,72
3,2016,Lahaina Civic Center,Neutral,KANSAS,ucla,92,73
4,2016,Lahaina Civic Center,Neutral,KANSAS,vanderbilt,70,63
5,2016,Allen Fieldhouse,Home,KANSAS,loyola-md,94,61
6,2016,Allen Fieldhouse,Home,KANSAS,harvard,75,69
7,2016,Allen Fieldhouse,Home,KANSAS,holy-cross,92,59
8,2016,Sprint Center,Neutral,KANSAS,oregon-state,82,67
9,2016,Allen Fieldhouse,Home,KANSAS,montana,88,46
10,2016,Viejas Arena,Away,KANSAS,san-diego-state,70,57
11,2016,Allen Fieldhouse,Home,KANSAS,california-irvine,78,53
12,2016,Allen Fieldhouse,Home,KANSAS,baylor,102,74
13,2016,Allen Fieldhouse,Home,KANSAS,oklahoma,109,106
14,2016,United Supermarkets Arena,Away,KANSAS,texas-tech,69,59
15,2016,WVU Coliseum,Away,KANSAS,west-virginia,63,74
16,2016,Allen Fieldhouse,Home,KANSAS,texas-christian,70,63
17,2016,Gallagher-Iba Arena,Away,KANSAS,oklahoma-state,67,86
18,2016,Allen Fieldhouse,Home,KANSAS,texas,76,67
19,2016,James H. Hilton Coliseum,Away,KANSAS,iowa-state,72,85
20,2016,Allen Fieldhouse,Home,KANSAS,kentucky,90,84
21,2016,Allen Fieldhouse,Home,KANSAS,kansas-state,77,59
22,2016,Ed & Rae Schollmaier Arena,Away,KANSAS,texas-christian,75,56
23,2016,Allen Fieldhouse,Home,KANSAS,west-virginia,75,65
24,2016,Lloyd Noble Center,Away,KANSAS,oklahoma,76,72
25,2016,Allen Fieldhouse,Home,KANSAS,oklahoma-state,94,67
26,2016,Bramlage Coliseum,Away,KANSAS,kansas-state,72,63
27,2016,Ferrell Center,Away,KANSAS,baylor,66,60
28,2016,Allen Fieldhouse,Home,KANSAS,texas-tech,67,58
29,2016,Frank Erwin Center,Away,KANSAS,texas,86,56
30,2016,Allen Fieldhouse,Home,KANSAS,iowa-state,85,78
31,2016,Sprint Center,Neutral,KANSAS,kansas-state,85,63
32,2016,Sprint Center,Neutral,KANSAS,baylor,70,66
33,2016,Sprint Center,Neutral,KANSAS,west-virginia,81,71
34,2016,Wells Fargo Arena,Neutral,KANSAS,austin-peay,105,79
35,2016,Wells Fargo Arena,Neutral,KANSAS,connecticut,73,61
36,2016,KFC Yum! Center,Neutral,KANSAS,maryland,79,63
37,2016,KFC Yum! Center,Neutral,KANSAS,villanova,59,64
