,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Welsh-Ryan Arena,Away,MASSACHUSETTS-LOWELL,northwestern,57,79
1,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,sacred-heart,87,84
2,2016,Purcell Pavilion at the Joyce Center,Away,MASSACHUSETTS-LOWELL,notre-dame,57,83
3,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,Wheelock,104,76
4,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,cornell,80,77
5,2016,Steinberg Wellness Center,Away,MASSACHUSETTS-LOWELL,long-island-university,72,84
6,2016,Estelle and Zoom Fleisher Athletic Center,Away,MASSACHUSETTS-LOWELL,njit,77,90
7,2016,Silvio O. Conte Forum,Away,MASSACHUSETTS-LOWELL,boston-college,68,66
8,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,boston-university,60,80
9,2016,Detrick Gymnasium,Away,MASSACHUSETTS-LOWELL,central-connecticut-state,79,83
10,2016,XL Center,Away,MASSACHUSETTS-LOWELL,connecticut,79,88
11,2016,Louis Brown Athletic Center,Away,MASSACHUSETTS-LOWELL,rutgers,66,89
12,2016,Spiro Sports Center,Away,MASSACHUSETTS-LOWELL,wagner,62,76
13,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,hartford,80,76
14,2016,Island Federal Credit Union,Away,MASSACHUSETTS-LOWELL,stony-brook,59,86
15,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,maine,81,95
16,2016,Retriever Activities Center,Away,MASSACHUSETTS-LOWELL,maryland-baltimore-county,95,89
17,2016,Roy L. Patrick Gymnasium,Away,MASSACHUSETTS-LOWELL,vermont,93,82
18,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,new-hampshire,76,78
19,2016,,Home,MASSACHUSETTS-LOWELL,binghamton,57,64
20,2016,SEFCU Arena,Away,MASSACHUSETTS-LOWELL,albany-ny,63,75
21,2016,Chase Family Arena,Away,MASSACHUSETTS-LOWELL,hartford,85,83
22,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,stony-brook,73,91
23,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,vermont,100,93
24,2016,Cross Insurance Center,Away,MASSACHUSETTS-LOWELL,maine,108,95
25,2016,Costello Athletic Center,Home,MASSACHUSETTS-LOWELL,maryland-baltimore-county,96,92
26,2016,Lundholm Gymnasium,Away,MASSACHUSETTS-LOWELL,new-hampshire,69,80
27,2016,Binghamton University Events Center,Away,MASSACHUSETTS-LOWELL,binghamton,77,81
28,2016,,Home,MASSACHUSETTS-LOWELL,albany-ny,61,86
