,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Mabee Center,Away,MISSOURI-STATE,oral-roberts,65,80
1,2016,Roberto Clemente Coliseum,Neutral,MISSOURI-STATE,butler,59,93
2,2016,Roberto Clemente Coliseum,Neutral,MISSOURI-STATE,minnesota,69,74
3,2016,Roberto Clemente Coliseum,Neutral,MISSOURI-STATE,mississippi-state,70,84
4,2016,JQH Arena,Home,MISSOURI-STATE,William Woods,77,56
5,2016,JQH Arena,Home,MISSOURI-STATE,utah-state,68,69
6,2016,Gallagher-Iba Arena,Away,MISSOURI-STATE,oklahoma-state,64,63
7,2016,JQH Arena,Home,MISSOURI-STATE,iupui,88,74
8,2016,JQH Arena,Home,MISSOURI-STATE,tulsa,61,70
9,2016,JQH Arena,Home,MISSOURI-STATE,oral-roberts,85,66
10,2016,Athletics-Recreation Center,Away,MISSOURI-STATE,valparaiso,45,74
11,2016,JQH Arena,Home,MISSOURI-STATE,southeast-missouri-state,74,78
12,2016,Redbird Arena,Away,MISSOURI-STATE,illinois-state,61,74
13,2016,JQH Arena,Home,MISSOURI-STATE,evansville,59,76
14,2016,JQH Arena,Home,MISSOURI-STATE,northern-iowa,59,58
15,2016,Joseph J. Gentile Center,Away,MISSOURI-STATE,loyola-il,56,54
16,2016,JQH Arena,Home,MISSOURI-STATE,wichita-state,62,78
17,2016,Carver Arena,Away,MISSOURI-STATE,bradley,61,42
18,2016,Knapp Center,Away,MISSOURI-STATE,drake,79,70
19,2016,JQH Arena,Home,MISSOURI-STATE,southern-illinois,65,80
20,2016,Hulman Center,Away,MISSOURI-STATE,indiana-state,59,68
21,2016,JQH Arena,Home,MISSOURI-STATE,illinois-state,84,81
22,2016,JQH Arena,Home,MISSOURI-STATE,bradley,77,71
23,2016,Ford Center,Away,MISSOURI-STATE,evansville,64,83
24,2016,McLeod Center,Away,MISSOURI-STATE,northern-iowa,69,83
25,2016,JQH Arena,Home,MISSOURI-STATE,indiana-state,89,85
26,2016,Charles Koch Arena,Away,MISSOURI-STATE,wichita-state,68,99
27,2016,JQH Arena,Home,MISSOURI-STATE,loyola-il,62,75
28,2016,JQH Arena,Home,MISSOURI-STATE,drake,61,52
29,2016,The SIU Arena,Away,MISSOURI-STATE,southern-illinois,68,78
30,2016,Scottrade Center,Neutral,MISSOURI-STATE,drake,69,67
31,2016,Scottrade Center,Neutral,MISSOURI-STATE,evansville,56,66
