,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Donald W. Reynolds Center,Home,TULSA,central-arkansas,98,81
1,2016,Donald W. Reynolds Center,Home,TULSA,wichita-state,77,67
2,2016,Virgin Islands Sport & Fitness Center,Neutral,TULSA,ohio,90,88
3,2016,Virgin Islands Sport & Fitness Center,Neutral,TULSA,indiana-state,67,59
4,2016,Virgin Islands Sport & Fitness Center,Neutral,TULSA,south-carolina,75,83
5,2016,Donald W. Reynolds Center,Home,TULSA,arkansas-little-rock,60,64
6,2016,Gallagher-Iba Arena,Away,TULSA,oklahoma-state,66,56
7,2016,Donald W. Reynolds Center,Home,TULSA,oral-roberts,68,70
8,2016,Donald W. Reynolds Center,Home,TULSA,iona,90,81
9,2016,JQH Arena,Away,TULSA,missouri-state,70,61
10,2016,Moda Center,Neutral,TULSA,oregon-state,71,76
11,2016,Donald W. Reynolds Center,Home,TULSA,northern-arizona,90,55
12,2016,Donald W. Reynolds Center,Home,TULSA,southern-methodist,69,81
13,2016,Fifth Third Arena,Away,TULSA,cincinnati,57,76
14,2016,Donald W. Reynolds Center,Home,TULSA,east-carolina,55,43
15,2016,Devlin Fieldhouse,Away,TULSA,tulane,81,67
16,2016,Donald W. Reynolds Center,Home,TULSA,connecticut,60,51
17,2016,Williams Arena at Minges Coliseum,Away,TULSA,east-carolina,84,69
18,2016,Donald W. Reynolds Center,Home,TULSA,central-florida,75,60
19,2016,Hofheinz Pavilion,Away,TULSA,houston,66,81
20,2016,Donald W. Reynolds Center,Home,TULSA,tulane,62,48
21,2016,Liacouras Center,Away,TULSA,temple,79,83
22,2016,Donald W. Reynolds Center,Home,TULSA,houston,77,63
23,2016,Moody Coliseum,Away,TULSA,southern-methodist,82,77
24,2016,Harry A. Gampel Pavilion,Away,TULSA,connecticut,73,75
25,2016,Donald W. Reynolds Center,Home,TULSA,cincinnati,70,68
26,2016,CFE Arena,Away,TULSA,central-florida,75,67
27,2016,Donald W. Reynolds Center,Home,TULSA,temple,74,55
28,2016,FedExForum,Away,TULSA,memphis,82,92
29,2016,Donald W. Reynolds Center,Home,TULSA,south-florida,84,74
30,2016,,Neutral,TULSA,memphis,67,89
31,2016,University of Dayton Arena,Neutral,TULSA,michigan,62,67
