,year,arena,location,team,opponent,team_points,opponent_points
0,2016,The Pavilion,Home,VILLANOVA,fairleigh-dickinson,91,54
1,2016,The Pavilion,Home,VILLANOVA,nebraska,87,63
2,2016,The Pavilion,Home,VILLANOVA,east-tennessee-state,86,51
3,2016,The Pavilion,Home,VILLANOVA,akron,75,56
4,2016,Barclays Center,Neutral,VILLANOVA,stanford,59,45
5,2016,Barclays Center,Neutral,VILLANOVA,georgia-tech,69,52
6,2016,Hagan Arena,Away,VILLANOVA,saint-josephs,86,72
7,2016,Bloch Arena,Neutral,VILLANOVA,oklahoma,55,78
8,2016,The Pavilion,Home,VILLANOVA,la-salle,76,47
9,2016,John Paul Jones Arena,Away,VILLANOVA,virginia,75,86
10,2016,The Pavilion,Home,VILLANOVA,delaware,78,48
11,2016,The Pavilion,Home,VILLANOVA,pennsylvania,77,57
12,2016,The Pavilion,Home,VILLANOVA,xavier,95,64
13,2016,CenturyLink Center,Away,VILLANOVA,creighton,85,71
14,2016,The Pavilion,Home,VILLANOVA,seton-hall,72,63
15,2016,Hinkle Fieldhouse,Away,VILLANOVA,butler,60,55
16,2016,The Pavilion,Home,VILLANOVA,marquette,83,68
17,2016,Verizon Center,Away,VILLANOVA,georgetown,55,50
18,2016,Prudential Center,Away,VILLANOVA,seton-hall,72,71
19,2016,,Home,VILLANOVA,providence,76,82
20,2016,Madison Square Garden (IV),Away,VILLANOVA,st-johns-ny,68,53
21,2016,The Pavilion,Home,VILLANOVA,creighton,83,58
22,2016,Dunkin' Donuts Center,Away,VILLANOVA,providence,72,60
23,2016,Allstate Arena,Away,VILLANOVA,depaul,86,59
24,2016,The Pavilion,Home,VILLANOVA,st-johns-ny,73,63
25,2016,Liacouras Center,Away,VILLANOVA,temple,83,67
26,2016,The Pavilion,Home,VILLANOVA,butler,77,67
27,2016,Cintas Center,Away,VILLANOVA,xavier,83,90
28,2016,BMO Harris Bradley Center,Away,VILLANOVA,marquette,89,79
29,2016,The Pavilion,Home,VILLANOVA,depaul,83,62
30,2016,The Pavilion,Home,VILLANOVA,georgetown,84,71
31,2016,Madison Square Garden (IV),Neutral,VILLANOVA,georgetown,81,67
32,2016,Madison Square Garden (IV),Neutral,VILLANOVA,providence,76,68
33,2016,Madison Square Garden (IV),Neutral,VILLANOVA,seton-hall,67,69
34,2016,Barclays Center,Neutral,VILLANOVA,north-carolina-asheville,86,56
35,2016,Barclays Center,Neutral,VILLANOVA,iowa,87,68
36,2016,KFC Yum! Center,Neutral,VILLANOVA,miami-fl,92,69
37,2016,KFC Yum! Center,Neutral,VILLANOVA,kansas,64,59
38,2016,,Neutral,VILLANOVA,oklahoma,95,51
39,2016,,Neutral,VILLANOVA,north-carolina,77,74
