,year,arena,location,team,opponent,team_points,opponent_points
0,2016,Mercedes-Benz Arena,Neutral,WASHINGTON,texas,77,71
1,2016,Alaska Airlines Arena,Home,WASHINGTON,mount-st-marys,100,67
2,2016,Alaska Airlines Arena,Home,WASHINGTON,pennsylvania,104,67
3,2016,Imperial Arena at Atlantis Resort,Neutral,WASHINGTON,gonzaga,64,80
4,2016,Imperial Arena at Atlantis Resort,Neutral,WASHINGTON,texas,70,82
5,2016,Imperial Arena at Atlantis Resort,Neutral,WASHINGTON,charlotte,71,66
6,2016,Alaska Airlines Arena,Home,WASHINGTON,cal-state-fullerton,87,69
7,2016,Alaska Airlines Arena,Home,WASHINGTON,texas-christian,92,67
8,2016,Alaska Airlines Arena,Home,WASHINGTON,montana,92,62
9,2016,Alaska Airlines Arena,Home,WASHINGTON,oakland,83,97
10,2016,Alaska Airlines Arena,Home,WASHINGTON,seattle,79,68
11,2016,Alaska Airlines Arena,Home,WASHINGTON,california-santa-barbara,78,83
12,2016,Alaska Airlines Arena,Home,WASHINGTON,ucla,96,93
13,2016,Alaska Airlines Arena,Home,WASHINGTON,southern-california,87,85
14,2016,Beasley Coliseum,Away,WASHINGTON,washington-state,99,95
15,2016,McKale Center,Away,WASHINGTON,arizona,67,99
16,2016,Wells Fargo Arena,Away,WASHINGTON,arizona-state,89,85
17,2016,Alaska Airlines Arena,Home,WASHINGTON,colorado,95,83
18,2016,Alaska Airlines Arena,Home,WASHINGTON,utah,75,80
19,2016,Pauley Pavilion,Away,WASHINGTON,ucla,86,84
20,2016,Galen Center,Away,WASHINGTON,southern-california,88,98
21,2016,Alaska Airlines Arena,Home,WASHINGTON,arizona-state,95,83
22,2016,Alaska Airlines Arena,Home,WASHINGTON,arizona,72,77
23,2016,Jon M. Huntsman Center,Away,WASHINGTON,utah,82,90
24,2016,Coors Events/Conference Center,Away,WASHINGTON,colorado,80,81
25,2016,Alaska Airlines Arena,Home,WASHINGTON,california,75,78
26,2016,Alaska Airlines Arena,Home,WASHINGTON,stanford,64,53
27,2016,Gill Coliseum,Away,WASHINGTON,oregon-state,81,82
28,2016,Matthew Knight Arena,Away,WASHINGTON,oregon,73,86
29,2016,Alaska Airlines Arena,Home,WASHINGTON,washington-state,99,91
30,2016,MGM Grand Garden Arena,Neutral,WASHINGTON,stanford,91,68
31,2016,MGM Grand Garden Arena,Neutral,WASHINGTON,oregon,77,83
32,2016,Alaska Airlines Arena,Home,WASHINGTON,long-beach-state,107,102
33,2016,Viejas Arena,Away,WASHINGTON,san-diego-state,78,93
