,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Firestone Fieldhouse,Away,CAL-POLY,pepperdine,68,77
1,2017,Wells Fargo Arena,Away,CAL-POLY,arizona-state,74,96
2,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,Cal State Dominguez Hills,75,64
3,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,Bethesda University (CA),69,52
4,2017,Convocation Center,Away,CAL-POLY,northern-illinois,68,64
5,2017,Convocation Center,Neutral,CAL-POLY,illinois-chicago,71,84
6,2017,Convocation Center,Neutral,CAL-POLY,elon,66,72
7,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,texas-san-antonio,59,47
8,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,texas-am-corpus-christi,82,70
9,2017,Save Mart Center,Away,CAL-POLY,fresno-state,59,73
10,2017,Haas Pavilion,Away,CAL-POLY,california,55,81
11,2017,Alaska Airlines Arena,Away,CAL-POLY,washington,61,77
12,2017,Grand Canyon University Arena,Away,CAL-POLY,grand-canyon,64,71
13,2017,Jadwin Gymnasium,Away,CAL-POLY,princeton,52,81
14,2017,The Pavilion,Away,CAL-POLY,california-davis,64,68
15,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,cal-state-fullerton,74,87
16,2017,The Thunderdome,Away,CAL-POLY,california-santa-barbara,53,58
17,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,california-irvine,48,70
18,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,long-beach-state,92,98
19,2017,Bren Events Center,Away,CAL-POLY,california-irvine,79,66
20,2017,Titan Gym,Away,CAL-POLY,cal-state-fullerton,71,81
21,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,california-davis,74,70
22,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,california-riverside,56,67
23,2017,Stan Sheriff Center,Away,CAL-POLY,hawaii,65,74
24,2017,The Matadome,Away,CAL-POLY,cal-state-northridge,85,71
25,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,hawaii,61,82
26,2017,The Walter Pyramid,Away,CAL-POLY,long-beach-state,78,71
27,2017,UC Riverside Student Recreation Center,Away,CAL-POLY,california-riverside,84,77
28,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,cal-state-northridge,76,70
29,2017,Robert A. Mott Gymnasium,Home,CAL-POLY,california-santa-barbara,44,57
30,2017,Honda Center,Neutral,CAL-POLY,california-davis,55,66
