,year,arena,location,team,opponent,team_points,opponent_points
0,2017,KFC Yum! Center,Away,EVANSVILLE,louisville,47,78
1,2017,Ford Center,Home,EVANSVILLE,alcorn-state,82,59
2,2017,Ford Center,Home,EVANSVILLE,morehead-state,69,56
3,2017,Nashville Municipal Auditorium,Neutral,EVANSVILLE,toledo,79,83
4,2017,Nashville Municipal Auditorium,Neutral,EVANSVILLE,north-carolina-wilmington,62,65
5,2017,Nashville Municipal Auditorium,Neutral,EVANSVILLE,middle-tennessee,55,66
6,2017,Ford Center,Home,EVANSVILLE,Wabash,83,39
7,2017,Ford Center,Home,EVANSVILLE,boise-state,72,67
8,2017,Ford Center,Home,EVANSVILLE,bowling-green-state,69,66
9,2017,Ford Center,Home,EVANSVILLE,murray-state,78,46
10,2017,Ford Center,Home,EVANSVILLE,norfolk-state,85,66
11,2017,Winfield Dunn Center,Away,EVANSVILLE,austin-peay,77,69
12,2017,Ford Center,Home,EVANSVILLE,Mt. St. Joseph,68,55
13,2017,Redbird Arena,Away,EVANSVILLE,illinois-state,50,62
14,2017,Ford Center,Home,EVANSVILLE,northern-iowa,70,58
15,2017,Ford Center,Home,EVANSVILLE,bradley,63,74
16,2017,Knapp Center,Away,EVANSVILLE,drake,76,88
17,2017,JQH Arena,Away,EVANSVILLE,missouri-state,51,55
18,2017,Ford Center,Home,EVANSVILLE,southern-illinois,61,73
19,2017,Ford Center,Home,EVANSVILLE,wichita-state,65,82
20,2017,Joseph J. Gentile Center,Away,EVANSVILLE,loyola-il,61,67
21,2017,McLeod Center,Away,EVANSVILLE,northern-iowa,54,61
22,2017,Ford Center,Home,EVANSVILLE,illinois-state,59,69
23,2017,Hulman Center,Away,EVANSVILLE,indiana-state,84,85
24,2017,Ford Center,Home,EVANSVILLE,missouri-state,74,66
25,2017,Ford Center,Home,EVANSVILLE,loyola-il,60,58
26,2017,The SIU Arena,Away,EVANSVILLE,southern-illinois,75,70
27,2017,Ford Center,Home,EVANSVILLE,drake,87,70
28,2017,Carver Arena,Away,EVANSVILLE,bradley,72,84
29,2017,Charles Koch Arena,Away,EVANSVILLE,wichita-state,83,109
30,2017,Ford Center,Home,EVANSVILLE,indiana-state,65,63
31,2017,Scottrade Center,Neutral,EVANSVILLE,indiana-state,83,72
32,2017,Scottrade Center,Neutral,EVANSVILLE,illinois-state,69,80
