,year,arena,location,team,opponent,team_points,opponent_points
0,2017,McCamish Pavilion,Home,GEORGIA-TECH,tennessee-tech,70,55
1,2017,McCamish Pavilion,Home,GEORGIA-TECH,southern,77,62
2,2017,McCamish Pavilion,Home,GEORGIA-TECH,ohio,61,67
3,2017,McCamish Pavilion,Home,GEORGIA-TECH,sam-houston-state,81,73
4,2017,McCamish Pavilion,Home,GEORGIA-TECH,tulane,82,68
5,2017,Bryce Jordan Center,Away,GEORGIA-TECH,penn-state,60,67
6,2017,Thompson-Boling Arena,Away,GEORGIA-TECH,tennessee,58,81
7,2017,Stuart Siegel Center,Away,GEORGIA-TECH,virginia-commonwealth,76,73
8,2017,McCamish Pavilion,Home,GEORGIA-TECH,alcorn-state,74,50
9,2017,McCamish Pavilion,Home,GEORGIA-TECH,georgia,43,60
10,2017,McCamish Pavilion,Home,GEORGIA-TECH,wofford,76,72
11,2017,McCamish Pavilion,Home,GEORGIA-TECH,north-carolina-at,59,52
12,2017,McCamish Pavilion,Home,GEORGIA-TECH,north-carolina,75,63
13,2017,Cameron Indoor Stadium,Away,GEORGIA-TECH,duke,57,110
14,2017,McCamish Pavilion,Home,GEORGIA-TECH,louisville,50,65
15,2017,McCamish Pavilion,Home,GEORGIA-TECH,clemson,75,63
16,2017,PNC Arena,Away,GEORGIA-TECH,north-carolina-state,86,76
17,2017,Cassell Coliseum,Away,GEORGIA-TECH,virginia-tech,61,62
18,2017,John Paul Jones Arena,Away,GEORGIA-TECH,virginia,49,62
19,2017,McCamish Pavilion,Home,GEORGIA-TECH,florida-state,78,56
20,2017,McCamish Pavilion,Home,GEORGIA-TECH,notre-dame,62,60
21,2017,Littlejohn Coliseum,Away,GEORGIA-TECH,clemson,62,74
22,2017,Lawrence Joel Coliseum,Away,GEORGIA-TECH,wake-forest,69,81
23,2017,McCamish Pavilion,Home,GEORGIA-TECH,Tusculum,96,58
24,2017,McCamish Pavilion,Home,GEORGIA-TECH,boston-college,65,54
25,2017,Watsco Center,Away,GEORGIA-TECH,miami-fl,61,70
26,2017,McCamish Pavilion,Home,GEORGIA-TECH,syracuse,71,65
27,2017,McCamish Pavilion,Home,GEORGIA-TECH,north-carolina-state,69,71
28,2017,Purcell Pavilion at the Joyce Center,Away,GEORGIA-TECH,notre-dame,60,64
29,2017,McCamish Pavilion,Home,GEORGIA-TECH,pittsburgh,61,52
30,2017,Carrier Dome,Away,GEORGIA-TECH,syracuse,61,90
31,2017,Barclays Center,Neutral,GEORGIA-TECH,pittsburgh,59,61
32,2017,McCamish Pavilion,Neutral,GEORGIA-TECH,indiana,75,63
33,2017,McCamish Pavilion,Home,GEORGIA-TECH,belmont,71,57
34,2017,The Pavilion at Ole Miss,Away,GEORGIA-TECH,mississippi,74,66
35,2017,Madison Square Garden (IV),Neutral,GEORGIA-TECH,cal-state-bakersfield,76,61
36,2017,Madison Square Garden (IV),Neutral,GEORGIA-TECH,texas-christian,56,88
