,year,arena,location,team,opponent,team_points,opponent_points
0,2017,The Colonial Life Arena,Away,HOLY-CROSS,south-carolina,49,81
1,2017,Carrier Dome,Away,HOLY-CROSS,syracuse,46,90
2,2017,Hart Recreation Center,Home,HOLY-CROSS,massachusetts,60,68
3,2017,Lavietes Pavilion,Away,HOLY-CROSS,harvard,63,52
4,2017,Hart Recreation Center,Home,HOLY-CROSS,south-carolina-state,73,57
5,2017,Hart Recreation Center,Home,HOLY-CROSS,monmouth,77,80
6,2017,SEFCU Arena,Away,HOLY-CROSS,albany-ny,55,49
7,2017,Lundholm Gymnasium,Away,HOLY-CROSS,new-hampshire,53,56
8,2017,Cross Insurance Center,Away,HOLY-CROSS,maine,53,55
9,2017,Hart Recreation Center,Home,HOLY-CROSS,quinnipiac,75,57
10,2017,Thomas M. Ryan Center,Away,HOLY-CROSS,rhode-island,54,65
11,2017,William H. Pitt Center,Away,HOLY-CROSS,sacred-heart,72,67
12,2017,Hart Recreation Center,Home,HOLY-CROSS,marist,68,59
13,2017,Case Gym,Away,HOLY-CROSS,boston-university,55,61
14,2017,Hart Recreation Center,Home,HOLY-CROSS,navy,51,50
15,2017,Cotterell Court,Away,HOLY-CROSS,colgate,67,61
16,2017,Hart Recreation Center,Home,HOLY-CROSS,bucknell,49,68
17,2017,Hart Recreation Center,Home,HOLY-CROSS,lafayette,71,54
18,2017,Stabler Arena,Away,HOLY-CROSS,lehigh,51,68
19,2017,Christl Arena,Away,HOLY-CROSS,army,85,76
20,2017,Hart Recreation Center,Home,HOLY-CROSS,american,63,55
21,2017,Reitz Arena,Away,HOLY-CROSS,loyola-md,62,65
22,2017,Alumni Hall,Away,HOLY-CROSS,navy,47,60
23,2017,Hart Recreation Center,Home,HOLY-CROSS,colgate,56,50
24,2017,Sojka Pavilion,Away,HOLY-CROSS,bucknell,68,82
25,2017,Kirby Sports Center,Away,HOLY-CROSS,lafayette,59,69
26,2017,Hart Recreation Center,Home,HOLY-CROSS,lehigh,61,45
27,2017,Hart Recreation Center,Home,HOLY-CROSS,army,47,52
28,2017,Bender Arena,Away,HOLY-CROSS,american,69,54
29,2017,Hart Recreation Center,Home,HOLY-CROSS,loyola-md,63,62
30,2017,Hart Recreation Center,Home,HOLY-CROSS,boston-university,68,71
31,2017,Alumni Hall,Away,HOLY-CROSS,navy,42,49
