,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,Vanguard,99,51
1,2017,Lawlor Events Center,Away,LOYOLA-MARYMOUNT,nevada,64,79
2,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,connecticut,62,65
3,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,portland-state,78,62
4,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,boise-state,79,80
5,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,southern-utah,75,68
6,2017,The Matadome,Away,LOYOLA-MARYMOUNT,cal-state-northridge,69,68
7,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,incarnate-word,91,90
8,2017,Moby Arena,Away,LOYOLA-MARYMOUNT,colorado-state,69,66
9,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,texas-arlington,77,80
10,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,morgan-state,70,49
11,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,saint-marys-ca,60,72
12,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,brigham-young,76,81
13,2017,Firestone Fieldhouse,Away,LOYOLA-MARYMOUNT,pepperdine,70,71
14,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,santa-clara,66,56
15,2017,McCarthey Athletic Center,Away,LOYOLA-MARYMOUNT,gonzaga,55,93
16,2017,Chiles Center,Away,LOYOLA-MARYMOUNT,portland,79,78
17,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,san-diego,62,69
18,2017,Leavey Center,Away,LOYOLA-MARYMOUNT,santa-clara,63,64
19,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,pacific,79,73
20,2017,Marriott Center,Away,LOYOLA-MARYMOUNT,brigham-young,77,85
21,2017,Jenny Craig Pavillion,Away,LOYOLA-MARYMOUNT,san-diego,72,53
22,2017,War Memorial Gymnasium,Away,LOYOLA-MARYMOUNT,san-francisco,64,74
23,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,gonzaga,60,90
24,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,portland,66,60
25,2017,McKeon Pavilion,Away,LOYOLA-MARYMOUNT,saint-marys-ca,48,81
26,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,pepperdine,82,61
27,2017,Albert Gersten Pavilion,Home,LOYOLA-MARYMOUNT,san-francisco,53,51
28,2017,A.G. Spanos Center,Away,LOYOLA-MARYMOUNT,pacific,67,66
29,2017,Orleans Arena,Neutral,LOYOLA-MARYMOUNT,brigham-young,81,89
