,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Multipurpose Activity Center,Home,MONMOUTH,drexel,78,65
1,2017,The Colonial Life Arena,Away,MONMOUTH,south-carolina,69,70
2,2017,Carrier Dome,Away,MONMOUTH,syracuse,50,71
3,2017,Multipurpose Activity Center,Home,MONMOUTH,cornell,76,61
4,2017,Hart Recreation Center,Neutral,MONMOUTH,south-carolina-state,86,62
5,2017,Hart Recreation Center,Away,MONMOUTH,holy-cross,80,77
6,2017,TD Bank Sports Center,Away,MONMOUTH,quinnipiac,91,72
7,2017,Multipurpose Activity Center,Home,MONMOUTH,canisius,94,88
8,2017,Spiro Sports Center,Away,MONMOUTH,wagner,81,71
9,2017,Multipurpose Activity Center,Home,MONMOUTH,army,81,71
10,2017,FedExForum,Away,MONMOUTH,memphis,82,79
11,2017,Multipurpose Activity Center,Home,MONMOUTH,princeton,96,90
12,2017,Dean Smith Center,Away,MONMOUTH,north-carolina,74,102
13,2017,Multipurpose Activity Center,Home,MONMOUTH,rider,90,93
14,2017,Yanitelli Center,Away,MONMOUTH,saint-peters,61,71
15,2017,Multipurpose Activity Center,Home,MONMOUTH,iona,92,74
16,2017,Multipurpose Activity Center,Home,MONMOUTH,marist,71,64
17,2017,Gallagher Center,Away,MONMOUTH,niagara,90,83
18,2017,Koessler Athletic Center,Away,MONMOUTH,canisius,76,72
19,2017,Multipurpose Activity Center,Home,MONMOUTH,manhattan,82,71
20,2017,Multipurpose Activity Center,Home,MONMOUTH,fairfield,91,49
21,2017,Multipurpose Activity Center,Home,MONMOUTH,quinnipiac,95,76
22,2017,McCann Recreation Center,Away,MONMOUTH,marist,83,71
23,2017,Multipurpose Activity Center,Home,MONMOUTH,saint-peters,71,70
24,2017,Alumni Gymnasium,Away,MONMOUTH,rider,74,69
25,2017,Draddy Gymnasium,Away,MONMOUTH,manhattan,62,58
26,2017,Times Union Center,Away,MONMOUTH,siena,102,82
27,2017,Multipurpose Activity Center,Home,MONMOUTH,niagara,93,75
28,2017,Webster Bank Arena,Away,MONMOUTH,fairfield,82,62
29,2017,Multipurpose Activity Center,Home,MONMOUTH,siena,77,73
30,2017,Hynes Athletics Center,Away,MONMOUTH,iona,79,73
31,2017,Times Union Center,Neutral,MONMOUTH,niagara,84,59
32,2017,Times Union Center,Neutral,MONMOUTH,siena,85,89
33,2017,Multipurpose Activity Center,Home,MONMOUTH,mississippi,83,91
