,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Pan American Center,Home,NEW-MEXICO-STATE,Arizona Christian,100,52
1,2017,Moby Arena,Away,NEW-MEXICO-STATE,colorado-state,61,64
2,2017,Pan American Center,Home,NEW-MEXICO-STATE,samford,58,48
3,2017,The Pit,Away,NEW-MEXICO-STATE,new-mexico,59,72
4,2017,Pan American Center,Home,NEW-MEXICO-STATE,bethune-cookman,89,73
5,2017,Pan American Center,Home,NEW-MEXICO-STATE,nicholls-state,86,74
6,2017,Jenny Craig Pavillion,Away,NEW-MEXICO-STATE,san-diego,56,51
7,2017,Pan American Center,Home,NEW-MEXICO-STATE,air-force,78,70
8,2017,Pan American Center,Home,NEW-MEXICO-STATE,long-beach-state,93,85
9,2017,Pan American Center,Home,NEW-MEXICO-STATE,new-mexico,84,71
10,2017,Don Haskins Center,Away,NEW-MEXICO-STATE,texas-el-paso,79,68
11,2017,Wells Fargo Arena,Away,NEW-MEXICO-STATE,arizona-state,81,70
12,2017,Pan American Center,Home,NEW-MEXICO-STATE,california-irvine,85,79
13,2017,Pan American Center,Home,NEW-MEXICO-STATE,Eastern New Mexico,84,50
14,2017,Pan American Center,Home,NEW-MEXICO-STATE,texas-el-paso,79,70
15,2017,Municipal Auditorium,Away,NEW-MEXICO-STATE,missouri-kansas-city,77,64
16,2017,Emil and Patricia Jones Convocation Center,Away,NEW-MEXICO-STATE,chicago-state,78,62
17,2017,Pan American Center,Home,NEW-MEXICO-STATE,grand-canyon,81,69
18,2017,Pan American Center,Home,NEW-MEXICO-STATE,cal-state-bakersfield,63,58
19,2017,Pan American Center,Home,NEW-MEXICO-STATE,missouri-kansas-city,94,71
20,2017,KeyArena,Away,NEW-MEXICO-STATE,seattle,71,56
21,2017,UCCU Center,Away,NEW-MEXICO-STATE,utah-valley,74,69
22,2017,Pan American Center,Home,NEW-MEXICO-STATE,Northern New Mexico,98,75
23,2017,Pan American Center,Home,NEW-MEXICO-STATE,chicago-state,86,51
24,2017,Icardo Center,Away,NEW-MEXICO-STATE,cal-state-bakersfield,53,72
25,2017,Grand Canyon University Arena,Away,NEW-MEXICO-STATE,grand-canyon,71,83
26,2017,UTRGV Fieldhouse,Away,NEW-MEXICO-STATE,texas-pan-american,107,101
27,2017,Pan American Center,Home,NEW-MEXICO-STATE,utah-valley,72,84
28,2017,Pan American Center,Home,NEW-MEXICO-STATE,seattle,86,53
29,2017,Pan American Center,Home,NEW-MEXICO-STATE,texas-pan-american,107,81
30,2017,Orleans Arena,Neutral,NEW-MEXICO-STATE,chicago-state,67,53
31,2017,Orleans Arena,Neutral,NEW-MEXICO-STATE,missouri-kansas-city,78,60
32,2017,Orleans Arena,Neutral,NEW-MEXICO-STATE,cal-state-bakersfield,70,60
33,2017,,Neutral,NEW-MEXICO-STATE,baylor,73,91
