,year,arena,location,team,opponent,team_points,opponent_points
0,2017,UNT Coliseum,Home,NORTH-TEXAS,Sul Ross State,85,77
1,2017,United Supermarkets Arena,Away,NORTH-TEXAS,texas-tech,43,70
2,2017,UNT Coliseum,Home,NORTH-TEXAS,drexel,62,83
3,2017,Louis Brown Athletic Center,Away,NORTH-TEXAS,rutgers,53,66
4,2017,UNT Coliseum,Home,NORTH-TEXAS,niagara,80,71
5,2017,UNT Coliseum,Home,NORTH-TEXAS,hartford,81,78
6,2017,UNT Coliseum,Home,NORTH-TEXAS,Texas College,73,45
7,2017,UNT Coliseum,Home,NORTH-TEXAS,texas-arlington,61,77
8,2017,UNT Coliseum,Home,NORTH-TEXAS,delaware-state,73,40
9,2017,Johnson Coliseum,Away,NORTH-TEXAS,sam-houston-state,70,76
10,2017,UNT Coliseum,Home,NORTH-TEXAS,southeastern-louisiana,71,65
11,2017,UNT Coliseum,Home,NORTH-TEXAS,san-diego,68,69
12,2017,Dale F. Halton Arena,Away,NORTH-TEXAS,charlotte,76,101
13,2017,Ted Constant Convocation Ctr.,Away,NORTH-TEXAS,old-dominion,48,55
14,2017,UNT Coliseum,Home,NORTH-TEXAS,alabama-birmingham,52,54
15,2017,UNT Coliseum,Home,NORTH-TEXAS,middle-tennessee,68,79
16,2017,Tudor Fieldhouse,Away,NORTH-TEXAS,rice,79,101
17,2017,Reed Green Coliseum,Away,NORTH-TEXAS,southern-mississippi,65,75
18,2017,Thomas Assembly Center,Away,NORTH-TEXAS,louisiana-tech,57,81
19,2017,UNT Coliseum,Home,NORTH-TEXAS,charlotte,81,82
20,2017,UNT Coliseum,Home,NORTH-TEXAS,old-dominion,67,73
21,2017,UNT Coliseum,Home,NORTH-TEXAS,rice,80,95
22,2017,FAU Arena,Away,NORTH-TEXAS,florida-atlantic,70,64
23,2017,FIU Arena,Away,NORTH-TEXAS,florida-international,71,90
24,2017,UNT Coliseum,Home,NORTH-TEXAS,texas-el-paso,71,77
25,2017,UNT Coliseum,Home,NORTH-TEXAS,texas-san-antonio,83,73
26,2017,UNT Coliseum,Home,NORTH-TEXAS,louisiana-tech,67,85
27,2017,UNT Coliseum,Home,NORTH-TEXAS,southern-mississippi,53,76
28,2017,E.A. Diddle Arena,Away,NORTH-TEXAS,western-kentucky,63,74
29,2017,Henderson Center,Away,NORTH-TEXAS,marshall,104,106
