,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,bryant,89,64
1,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,seattle,92,49
2,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,loyola-md,83,48
3,2017,Barclays Center,Neutral,NOTRE-DAME,colorado,89,83
4,2017,Barclays Center,Neutral,NOTRE-DAME,northwestern,70,66
5,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,chicago-state,91,60
6,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,iowa,92,78
7,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,north-carolina-at,107,53
8,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,ipfw,87,72
9,2017,Prudential Center,Neutral,NOTRE-DAME,villanova,66,74
10,2017,Bankers Life Fieldhouse,Neutral,NOTRE-DAME,purdue,81,86
11,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,colgate,77,62
12,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,saint-peters,63,55
13,2017,Petersen Events Center,Away,NOTRE-DAME,pittsburgh,78,77
14,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,louisville,77,70
15,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,clemson,75,70
16,2017,Watsco Center,Away,NOTRE-DAME,miami-fl,67,62
17,2017,Cassell Coliseum,Away,NOTRE-DAME,virginia-tech,76,71
18,2017,Donald L. Tucker Center,Away,NOTRE-DAME,florida-state,80,83
19,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,syracuse,84,66
20,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,virginia,54,71
21,2017,McCamish Pavilion,Away,NOTRE-DAME,georgia-tech,60,62
22,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,duke,74,84
23,2017,Greensboro Coliseum,Away,NOTRE-DAME,north-carolina,76,83
24,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,wake-forest,88,81
25,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,florida-state,84,72
26,2017,Silvio O. Conte Forum,Away,NOTRE-DAME,boston-college,84,76
27,2017,PNC Arena,Away,NOTRE-DAME,north-carolina-state,81,72
28,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,georgia-tech,64,60
29,2017,Purcell Pavilion at the Joyce Center,Home,NOTRE-DAME,boston-college,82,66
30,2017,KFC Yum! Center,Away,NOTRE-DAME,louisville,64,71
31,2017,Barclays Center,Neutral,NOTRE-DAME,virginia,71,58
32,2017,Barclays Center,Neutral,NOTRE-DAME,florida-state,77,73
33,2017,Barclays Center,Neutral,NOTRE-DAME,duke,69,75
34,2017,KeyBank Center,Neutral,NOTRE-DAME,princeton,60,58
35,2017,KeyBank Center,Neutral,NOTRE-DAME,west-virginia,71,83
